step,0,1,2,3
145,2.30187,-2.5,5.80187,2.60375
146,2.30229,-2.5,5.80229,2.60459
147,2.3027,-2.5,5.8027,2.60541
148,2.30311,-2.5,5.80311,2.60621
149,2.3035,-2.5,5.8035,2.607
150,2.30388,-2.5,5.80388,2.60777
151,2.30426,-2.5,5.80426,2.60853
152,2.30463,-2.5,5.80463,2.60927
153,2.305,-2.5,5.805,2.60999
154,2.30535,-2.5,5.80535,2.6107
155,2.3057,-2.5,5.8057,2.6114
156,2.30604,-2.5,5.80604,2.61208
157,2.30637,-2.5,5.80637,2.61275
158,2.3067,-2.5,5.8067,2.6134
159,2.30702,-2.5,5.80702,2.61404
160,2.30734,-2.5,5.80734,2.61467
161,2.30764,-2.5,5.80764,2.61529
162,2.30795,-2.5,5.80795,2.61589
163,2.30824,-2.5,5.80824,2.61648
164,2.30853,-2.5,5.80853,2.61706
165,2.30881,-2.5,5.80881,2.61763
166,2.30909,-2.5,5.80909,2.61818
167,2.30936,-2.5,5.80936,2.61873
168,2.30963,-2.5,5.80963,2.61926
169,2.30989,-2.5,5.80989,2.61978
170,2.31015,-2.5,5.81015,2.62029
171,2.3104,-2.5,5.8104,2.62079
172,2.31064,-2.5,5.81064,2.62129
173,2.31088,-2.5,5.81088,2.62177
174,2.31112,-2.5,5.81112,2.62224
175,2.31135,-2.5,5.81135,2.6227
176,2.31158,-2.5,5.81158,2.62315
177,2.3118,-2.5,5.8118,2.62359
178,2.31201,-2.5,5.81201,2.62403
179,2.31223,-2.5,5.81223,2.62445
180,2.31244,-2.5,5.81244,2.62487
181,2.31264,-2.5,5.81264,2.62528
182,2.31284,-2.5,5.81284,2.62568
183,2.31304,-2.5,5.81304,2.62607
184,2.31323,-2.5,5.81323,2.62645
185,2.31342,-2.5,5.81342,2.62683
186,2.3136,-2.5,5.8136,2.6272
187,2.31378,-2.5,5.81378,2.62756
188,2.31396,-2.5,5.81396,2.62791
189,2.31413,-2.5,5.81413,2.62826
190,2.3143,-2.5,5.8143,2.6286
191,2.31447,-2.5,5.81447,2.62893
192,2.31463,-2.5,5.81463,2.62926
193,2.31479,-2.5,5.81479,2.62958
194,2.31494,-2.5,5.81494,2.62989
195,2.3151,-2.5,5.8151,2.6302
196,2.31525,-2.5,5.81525,2.6305
197,2.3154,-2.5,5.8154,2.63079
198,2.31554,-2.5,5.81554,2.63108
199,2.31568,-2.5,5.81568,2.63136
200,2.31582,-2.5,5.81582,2.63164
201,2.31595,-2.5,5.81595,2.63191
202,2.31609,-2.5,5.81609,2.63217
203,2.31622,-2.5,5.81622,2.63243
204,2.31634,-2.5,5.81634,2.63269
205,2.31647,-2.5,5.81647,2.63294
206,2.31659,-2.5,5.81659,2.63318
207,2.31671,-2.5,5.81671,2.63342
208,2.31683,-2.5,5.81683,2.63366
209,2.31694,-2.5,5.81694,2.63389
210,2.31706,-2.5,5.81706,2.63411
211,2.31717,-2.5,5.81717,2.63433
212,2.31727,-2.5,5.81727,2.63455
213,2.31738,-2.5,5.81738,2.63476
214,2.31748,-2.5,5.81748,2.63497
215,2.31759,-2.5,5.81759,2.63517
216,2.31769,-2.5,5.81769,2.63537
217,2.31778,-2.5,5.81778,2.63557
218,2.31788,-2.5,5.81788,2.63576
219,2.31797,-2.5,5.81797,2.63594
220,2.31806,-2.5,5.81806,2.63613
221,2.31815,-2.5,5.81815,2.63631
222,2.31824,-2.5,5.81824,2.63648
223,2.31833,-2.5,5.81833,2.63666
224,2.31841,-2.5,5.81841,2.63683
225,2.3185,-2.5,5.8185,2.63699
226,2.31858,-2.5,5.81858,2.63715
227,2.31866,-2.5,5.81866,2.63731
228,2.31873,-2.5,5.81873,2.63747
229,2.31881,-2.5,5.81881,2.63762
230,2.31889,-2.5,5.81889,2.63777
231,2.31896,-2.5,5.81896,2.63792
232,2.31903,-2.5,5.81903,2.63806
233,2.3191,-2.5,5.8191,2.6382
234,2.31917,-2.5,5.81917,2.63834
235,2.31924,-2.5,5.81924,2.63847
236,2.3193,-2.5,5.8193,2.63861
237,2.31937,-2.5,5.81937,2.63874
238,2.31943,-2.5,5.81943,2.63886
239,2.31949,-2.5,5.81949,2.63899
240,2.31955,-2.5,5.81955,2.63911
241,2.31961,-2.5,5.81961,2.63923
242,2.31967,-2.5,5.81967,2.63934
243,2.31973,-2.5,5.81973,2.63946
244,2.31979,-2.5,5.81979,2.63957
245,2.31984,-2.5,5.81984,2.63968
246,2.31989,-2.5,5.81989,2.63979
247,2.31995,-2.5,5.81995,2.6399
248,2.32,-2.5,5.82,2.64
249,2.32005,-2.5,5.82005,2.6401
250,2.3201,-2.5,5.8201,2.6402
251,2.32015,-2.5,5.82015,2.6403
252,2.3202,-2.5,5.8202,2.64039
253,2.32024,-2.5,5.82024,2.64049
254,2.32029,-2.5,5.82029,2.64058
255,2.32033,-2.5,5.82033,2.64067
256,2.32038,-2.5,5.82038,2.64075
257,2.32042,-2.5,5.82042,2.64084
258,2.32046,-2.5,5.82046,2.64092
259,2.3205,-2.5,5.8205,2.64101
260,2.32054,-2.5,5.82054,2.64109
261,2.32058,-2.5,5.82058,2.64117
262,2.32062,-2.5,5.82062,2.64124
263,2.32066,-2.5,5.82066,2.64132
264,2.3207,-2.5,5.8207,2.6414
265,2.32073,-2.5,5.82073,2.64147
266,2.32077,-2.5,5.82077,2.64154
267,2.32081,-2.5,5.82081,2.64161
268,2.32084,-2.5,5.82084,2.64168
269,2.32087,-2.5,5.82087,2.64175
270,2.32091,-2.5,5.82091,2.64181
271,2.32094,-2.5,5.82094,2.64188
272,2.32097,-2.5,5.82097,2.64194
273,2.321,-2.5,5.821,2.642
274,2.32103,-2.5,5.82103,2.64206
275,2.32106,-2.5,5.82106,2.64212
276,2.32109,-2.5,5.82109,2.64218
277,2.32112,-2.5,5.82112,2.64224
278,2.32115,-2.5,5.82115,2.64229
279,2.32117,-2.5,5.82117,2.64235
280,2.3212,-2.5,5.8212,2.6424
281,2.32123,-2.5,5.82123,2.64245
282,2.32125,-2.5,5.82125,2.64251
283,2.32128,-2.5,5.82128,2.64256
284,2.3213,-2.5,5.8213,2.64261
285,2.32133,-2.5,5.82133,2.64265
286,2.32135,-2.5,5.82135,2.6427
287,2.32137,-2.5,5.82137,2.64275
288,2.3214,-2.5,5.8214,2.64279
289,2.32142,-2.5,5.82142,2.64284
290,2.32144,-2.5,5.82144,2.64288
291,2.32146,-2.5,5.82146,2.64293
292,2.32148,-2.5,5.82148,2.64297
293,2.3215,-2.5,5.8215,2.64301
294,2.32152,-2.5,5.82152,2.64305
295,2.32154,-2.5,5.82154,2.64309
296,2.32156,-2.5,5.82156,2.64313
297,2.32158,-2.5,5.82158,2.64317
298,2.3216,-2.5,5.8216,2.6432
299,2.32162,-2.5,5.82162,2.64324
300,2.32164,-2.5,5.82164,2.64327
301,2.32165,-2.5,5.82165,2.64331
302,2.32167,-2.5,5.82167,2.64334
303,2.32169,-2.5,5.82169,2.64338
304,2.32171,-2.5,5.82171,2.64341
305,2.32172,-2.5,5.82172,2.64344
306,2.32174,-2.5,5.82174,2.64347
307,2.32175,-2.5,5.82175,2.64351
308,2.32177,-2.5,5.82177,2.64354
309,2.32178,-2.5,5.82178,2.64357
310,2.3218,-2.5,5.8218,2.64359
311,2.32181,-2.5,5.82181,2.64362
312,2.32183,-2.5,5.82183,2.64365
313,2.32184,-2.5,5.82184,2.64368
314,2.32185,-2.5,5.82185,2.6437
315,2.32187,-2.5,5.82187,2.64373
316,2.32188,-2.5,5.82188,2.64376
317,2.32189,-2.5,5.82189,2.64378
318,2.3219,-2.5,5.8219,2.64381
319,2.32192,-2.5,5.82192,2.64383
320,2.32193,-2.5,5.82193,2.64385
321,2.32194,-2.5,5.82194,2.64388
322,2.32195,-2.5,5.82195,2.6439
323,2.32196,-2.5,5.82196,2.64392
324,2.32197,-2.5,5.82197,2.64394
325,2.32198,-2.5,5.82198,2.64397
326,2.32199,-2.5,5.82199,2.64399
327,2.322,-2.5,5.822,2.64401
328,2.32201,-2.5,5.82201,2.64403
329,2.32202,-2.5,5.82202,2.64405
330,2.32203,-2.5,5.82203,2.64407
331,2.32204,-2.5,5.82204,2.64409
332,2.32205,-2.5,5.82205,2.6441
333,2.32206,-2.5,5.82206,2.64412
334,2.32207,-2.5,5.82207,2.64414
335,2.32208,-2.5,5.82208,2.64416
336,2.32209,-2.5,5.82209,2.64417
337,2.3221,-2.5,5.8221,2.64419
338,2.3221,-2.5,5.8221,2.64421
339,2.32211,-2.5,5.82211,2.64422
340,2.32212,-2.5,5.82212,2.64424
341,2.32213,-2.5,5.82213,2.64426
342,2.32214,-2.5,5.82214,2.64427
343,2.32214,-2.5,5.82214,2.64428
344,2.32215,-2.5,5.82215,2.6443
345,2.32216,-2.5,5.82216,2.64431
346,2.32216,-2.5,5.82216,2.64433
347,2.32217,-2.5,5.82217,2.64434
348,2.32218,-2.5,5.82218,2.64435
349,2.32218,-2.5,5.82218,2.64437
350,2.32219,-2.5,5.82219,2.64438
351,2.3222,-2.5,5.8222,2.64439
352,2.3222,-2.5,5.8222,2.64441
353,2.32221,-2.5,5.82221,2.64442
354,2.32221,-2.5,5.82221,2.64443
355,2.32222,-2.5,5.82222,2.64444
356,2.32223,-2.5,5.82223,2.64445
357,2.32223,-2.5,5.82223,2.64446
358,2.32224,-2.5,5.82224,2.64447
