step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
38,20.6347,35.5116,0.870633,5.14681,-4.00627,7.93912,-26.7019,-16.5521,8.0889,-61.3429,-51.1931,-26.5521,-47.917,-23.2759,1.36507
39,20.6309,35.4074,0.766396,5.07649,-4.01012,7.99303,-26.648,-16.6175,8.02352,-61.289,-51.2585,-26.6175,-47.9484,-23.3074,1.33361
40,20.6295,35.3009,0.659883,5.00161,-4.01153,8.04659,-26.5944,-16.6811,7.9599,-61.2354,-51.3221,-26.6811,-47.9804,-23.3394,1.30163
41,20.6302,35.1926,0.55156,4.92276,-4.01078,8.09977,-26.5413,-16.743,7.89799,-61.1823,-51.384,-26.743,-48.0128,-23.3718,1.26919
42,20.6329,35.0829,0.441841,4.84043,-4.00813,8.15256,-26.4885,-16.8033,7.83774,-61.1295,-51.4443,-26.8033,-48.0457,-23.4047,1.23633
43,20.6372,34.9721,0.331105,4.75511,-4.00384,8.20495,-26.4361,-16.8619,7.7791,-61.0771,-51.5029,-26.8619,-48.0789,-23.4379,1.2031
44,20.6429,34.8607,0.219706,4.66722,-3.99813,8.25695,-26.3841,-16.919,7.72202,-61.0251,-51.56,-26.919,-48.1125,-23.4715,1.16953
45,20.6498,34.749,0.10797,4.57714,-3.99123,8.30854,-26.3325,-16.9745,7.66647,-60.9735,-51.6156,-26.9745,-48.1464,-23.5054,1.13564
46,20.6577,34.6372,-0.00380107,4.48522,-3.98332,8.35971,-26.2813,-17.0286,7.61243,-60.9223,-51.6696,-27.0286,-48.1806,-23.5396,1.10145
47,20.6664,34.5257,-0.115332,4.39178,-3.9746,8.41045,-26.2306,-17.0811,7.55987,-60.8716,-51.7222,-27.0811,-48.2151,-23.574,1.06698
48,20.6758,34.4146,-0.22637,4.2971,-3.96525,8.46076,-26.1803,-17.1322,7.50878,-60.8213,-51.7733,-27.1322,-48.2498,-23.6088,1.03225
49,20.6856,34.3043,-0.336686,4.20144,-3.95541,8.51062,-26.1304,-17.1819,7.45913,-60.7714,-51.8229,-27.1819,-48.2848,-23.6438,0.997257
