step,railCost
0,33.124
1,32.8639
2,32.6162
3,32.3803
4,32.1554
5,31.9411
6,31.7366
7,31.5414
8,31.3551
9,31.177
10,31.0069
11,30.8443
12,30.6887
13,30.5399
14,30.3974
15,30.261
16,30.1303
17,30.005
18,29.885
19,29.7698
20,29.6593
21,29.5533
22,29.4515
23,29.3537
24,29.2598
25,29.1695
26,29.0828
27,28.9994
28,28.9191
29,28.8419
30,28.7676
31,28.696
32,28.6271
33,28.5607
34,28.4968
35,28.4351
36,28.3757
37,28.3184
38,28.2631
39,28.2098
40,28.1583
41,28.1086
42,28.0607
43,28.0143
44,27.9696
45,27.9263
46,27.8845
47,27.8441
48,27.8051
49,27.7673
50,27.7308
51,27.6954
52,27.6612
53,27.6281
54,27.5961
55,27.565
56,27.535
57,27.5059
58,27.4777
59,27.4504
60,27.4239
61,27.3983
62,27.3734
63,27.3493
64,27.3259
65,27.3033
66,27.2813
67,27.26
68,27.2393
69,27.2192
70,27.1997
71,27.1808
72,27.1625
73,27.1446
74,27.1273
75,27.1105
76,27.0942
77,27.0783
78,27.0629
79,27.0479
80,27.0334
81,27.0193
82,27.0056
83,26.9925
84,26.9801
85,26.9685
86,26.9578
87,26.9475
88,26.9377
89,26.9283
90,26.9193
91,26.9107
92,26.9025
93,26.8946
94,26.887
95,26.8797
96,26.8728
97,26.8661
98,26.8598
99,26.8536
100,26.8478
101,26.8421
102,26.8368
103,26.8316
104,26.8266
105,26.8219
106,26.8173
107,26.813
108,26.8088
109,26.8048
110,26.8009
111,26.7972
112,26.7937
113,26.7903
114,26.787
115,26.7839
116,26.7809
117,26.7781
118,26.7753
119,26.7727
120,26.7701
121,26.7677
122,26.7654
123,26.7632
124,26.761
125,26.759
126,26.757
127,26.7551
128,26.7533
129,26.7516
130,26.7499
131,26.7483
132,26.7468
133,26.7454
134,26.744
135,26.7426
136,26.7414
137,26.7401
138,26.739
139,26.7378
140,26.7368
141,26.7357
142,26.7348
143,26.7338
144,26.7329
145,26.7321
146,26.7313
147,26.7305
148,26.7297
149,26.729
150,26.7283
151,26.7277
152,26.7271
153,26.7265
154,26.7259
155,26.7254
156,26.7249
157,26.7244
158,26.7239
159,26.7235
160,26.7231
161,26.7227
162,26.7223
163,26.722
164,26.7216
165,26.7213
166,26.721
167,26.7208
168,26.7205
169,26.7202
170,26.72
171,26.7198
172,26.7196
173,26.7194
174,26.7192
175,26.7191
176,26.7189
177,26.7188
178,26.7186
179,26.7185
180,26.7184
181,26.7183
182,26.7182
183,26.7182
184,26.7181
185,26.718
186,26.718
187,26.7179
188,26.7179
189,26.7179
190,26.7178
191,26.7178
192,26.7178
193,26.7178
194,26.7178
195,26.7178
196,26.7178
197,26.7179
198,26.7179
199,26.7179
200,26.7179
201,26.718
202,26.718
203,26.7181
204,26.7181
205,26.7182
206,26.7183
207,26.7183
208,26.7184
209,26.7185
210,26.7185
211,26.7186
212,26.7187
213,26.7188
214,26.7189
215,26.719
216,26.7191
217,26.7192
218,26.7193
219,26.7194
220,26.7195
221,26.7196
222,26.7197
223,26.7198
224,26.7199
225,26.72
226,26.7201
227,26.7203
228,26.7204
229,26.7205
230,26.7206
231,26.7208
232,26.7209
233,26.721
234,26.7211
235,26.7213
236,26.7214
237,26.7215
238,26.7217
239,26.7218
240,26.722
241,26.7221
242,26.7222
243,26.7224
244,26.7225
245,26.7227
246,26.7228
247,26.723
248,26.7231
249,26.7233
250,26.7234
251,26.7235
252,26.7237
253,26.7238
254,26.724
255,26.7242
256,26.7243
257,26.7245
258,26.7246
259,26.7248
260,26.7249
261,26.7251
262,26.7252
263,26.7254
264,26.7255
265,26.7257
266,26.7259
267,26.726
268,26.7262
269,26.7263
270,26.7265
271,26.7267
272,26.7268
273,26.727
274,26.7271
275,26.7273
276,26.7275
277,26.7276
278,26.7278
279,26.728
280,26.7281
281,26.7283
282,26.7285
283,26.7286
284,26.7288
285,26.729
286,26.7291
287,26.7293
288,26.7295
289,26.7296
290,26.7298
291,26.73
292,26.7301
293,26.7303
294,26.7305
295,26.7306
296,26.7308
297,26.731
298,26.7311
299,26.7313
300,26.7315
301,26.7316
302,26.7318
303,26.732
304,26.7321
305,26.7323
306,26.7325
307,26.7327
308,26.7328
309,26.733
310,26.7332
311,26.7333
312,26.7335
313,26.7337
314,26.7338
315,26.734
316,26.7342
317,26.7344
318,26.7345
319,26.7347
320,26.7349
321,26.735
322,26.7352
323,26.7354
324,26.7356
325,26.7357
326,26.7359
327,26.7361
328,26.7363
329,26.7364
330,26.7366
331,26.7368
332,26.7369
333,26.7371
334,26.7373
335,26.7375
336,26.7376
337,26.7378
338,26.738
339,26.7382
340,26.7383
341,26.7385
342,26.7387
343,26.7389
344,26.739
345,26.7392
346,26.7394
347,26.7396
348,26.7397
349,26.7399
350,26.7401
351,26.7403
352,26.7404
353,26.7406
354,26.7408
355,26.7409
356,26.7411
357,26.7413
358,26.7415
359,26.7417
360,26.7418
361,26.742
362,26.7422
363,26.7424
364,26.7425
365,26.7427
366,26.7429
367,26.7431
368,26.7432
369,26.7434
370,26.7436
371,26.7438
372,26.7439
373,26.7441
374,26.7443
375,26.7445
376,26.7446
377,26.7448
378,26.745
379,26.7452
380,26.7453
381,26.7455
382,26.7457
383,26.7459
384,26.746
385,26.7462
386,26.7464
387,26.7466
388,26.7468
389,26.7469
390,26.7471
391,26.7473
392,26.7475
393,26.7476
394,26.7478
395,26.748
396,26.7482
397,26.7483
398,26.7485
399,26.7487
400,26.7489
401,26.7491
402,26.7492
403,26.7494
404,26.7496
405,26.7498
406,26.7499
407,26.7501
408,26.7503
409,26.7505
410,26.7507
411,26.7508
412,26.751
413,26.7512
414,26.7514
415,26.7515
416,26.7517
417,26.7519
418,26.7521
419,26.7523
420,26.7524
421,26.7526
422,26.7528
423,26.753
424,26.7532
425,26.7533
426,26.7535
427,26.7537
428,26.7539
429,26.754
430,26.7542
431,26.7544
432,26.7546
433,26.7548
434,26.7549
435,26.7551
436,26.7553
437,26.7555
438,26.7557
439,26.7558
440,26.756
441,26.7562
442,26.7564
443,26.7566
444,26.7567
445,26.7569
446,26.7571
447,26.7573
448,26.7575
449,26.7576
450,26.7578
451,26.758
452,26.7582
453,26.7583
454,26.7585
455,26.7587
456,26.7589
457,26.7591
458,26.7592
459,26.7594
460,26.7596
461,26.7598
462,26.76
463,26.7601
464,26.7603
465,26.7605
466,26.7607
467,26.7609
468,26.761
469,26.7612
470,26.7614
471,26.7616
472,26.7618
473,26.762
474,26.7621
475,26.7623
476,26.7625
477,26.7627
478,26.7629
479,26.763
480,26.7632
481,26.7634
482,26.7636
483,26.7638
484,26.7639
485,26.7641
486,26.7643
487,26.7645
488,26.7647
489,26.7648
490,26.765
491,26.7652
492,26.7654
493,26.7656
494,26.7657
495,26.7659
496,26.7661
497,26.7663
498,26.7665
499,26.7667
500,26.7668
501,26.767
502,26.7672
503,26.7674
504,26.7676
505,26.7677
506,26.7679
507,26.7681
508,26.7683
509,26.7685
510,26.7687
511,26.7688
512,26.769
513,26.7692
514,26.7694
515,26.7696
516,26.7697
517,26.7699
518,26.7701
519,26.7703
520,26.7705
521,26.7707
522,26.7708
523,26.771
524,26.7712
525,26.7714
526,26.7716
527,26.7717
528,26.7719
529,26.7721
530,26.7723
531,26.7725
532,26.7727
533,26.7728
534,26.773
535,26.7732
536,26.7734
537,26.7736
538,26.7738
539,26.7739
540,26.7741
541,26.7743
542,26.7745
543,26.7747
544,26.7748
545,26.775
546,26.7752
547,26.7754
548,26.7756
549,26.7758
550,26.7759
551,26.7761
552,26.7763
553,26.7765
554,26.7767
555,26.7769
556,26.777
557,26.7772
558,26.7774
559,26.7776
560,26.7778
561,26.778
562,26.7781
563,26.7783
564,26.7785
565,26.7787
566,26.7789
567,26.7791
568,26.7792
569,26.7794
570,26.7796
571,26.7798
572,26.78
573,26.7802
574,26.7803
575,26.7805
576,26.7807
577,26.7809
578,26.7811
579,26.7813
580,26.7814
581,26.7816
582,26.7818
583,26.782
584,26.7822
585,26.7824
586,26.7825
587,26.7827
588,26.7829
589,26.7831
590,26.7833
591,26.7835
592,26.7836
593,26.7838
594,26.784
595,26.7842
596,26.7844
597,26.7846
598,26.7847
599,26.7849
600,26.7851
601,26.7853
602,26.7855
603,26.7857
604,26.7859
605,26.786
606,26.7862
607,26.7864
608,26.7866
609,26.7868
610,26.787
611,26.7871
612,26.7873
613,26.7875
614,26.7877
615,26.7879
616,26.7881
617,26.7882
618,26.7884
619,26.7886
620,26.7888
621,26.789
622,26.7892
623,26.7894
624,26.7895
625,26.7897
626,26.7899
627,26.7901
628,26.7903
629,26.7905
630,26.7906
631,26.7908
632,26.791
633,26.7912
634,26.7914
635,26.7916
636,26.7917
637,26.7919
638,26.7921
639,26.7923
640,26.7925
641,26.7927
642,26.7929
643,26.793
644,26.7932
645,26.7934
646,26.7936
647,26.7938
648,26.794
649,26.7942
650,26.7943
651,26.7945
652,26.7947
653,26.7949
654,26.7951
655,26.7953
656,26.7954
657,26.7956
658,26.7958
659,26.796
660,26.7962
661,26.7964
662,26.7966
663,26.7967
664,26.7969
665,26.7971
666,26.7973
667,26.7975
668,26.7977
669,26.7978
670,26.798
671,26.7982
672,26.7984
673,26.7986
674,26.7988
675,26.799
676,26.7991
677,26.7993
678,26.7995
679,26.7997
680,26.7999
681,26.8001
682,26.8003
683,26.8004
684,26.8006
685,26.8008
686,26.801
687,26.8012
688,26.8014
689,26.8016
690,26.8017
691,26.8019
692,26.8021
693,26.8023
694,26.8025
695,26.8027
696,26.8028
697,26.803
698,26.8032
699,26.8034
700,26.8036
701,26.8038
702,26.804
703,26.8041
704,26.8043
705,26.8045
706,26.8047
707,26.8049
708,26.8051
709,26.8053
710,26.8054
711,26.8056
712,26.8058
713,26.806
714,26.8062
715,26.8064
716,26.8066
717,26.8067
718,26.8069
719,26.8071
720,26.8073
721,26.8075
722,26.8077
723,26.8078
724,26.808
725,26.8082
726,26.8084
727,26.8086
728,26.8088
729,26.809
730,26.8091
731,26.8093
732,26.8095
733,26.8097
734,26.8099
735,26.8101
736,26.8103
737,26.8104
738,26.8106
739,26.8108
740,26.811
741,26.8112
742,26.8114
743,26.8116
744,26.8117
745,26.8119
746,26.8121
747,26.8123
748,26.8125
749,26.8127
750,26.8129
751,26.813
752,26.8132
753,26.8134
754,26.8136
755,26.8138
756,26.814
757,26.8142
758,26.8143
759,26.8145
760,26.8147
761,26.8149
762,26.8151
763,26.8153
764,26.8154
765,26.8156
766,26.8158
767,26.816
768,26.8162
769,26.8164
770,26.8166
771,26.8167
772,26.8169
773,26.8171
774,26.8173
775,26.8175
776,26.8177
777,26.8179
778,26.818
779,26.8182
780,26.8184
781,26.8186
782,26.8188
783,26.819
784,26.8192
785,26.8193
786,26.8195
787,26.8197
788,26.8199
789,26.8201
790,26.8203
791,26.8204
792,26.8206
793,26.8208
794,26.821
795,26.8212
796,26.8214
797,26.8216
798,26.8217
799,26.8219
800,26.8221
801,26.8223
802,26.8225
803,26.8227
804,26.8229
805,26.823
806,26.8232
807,26.8234
808,26.8236
809,26.8238
810,26.824
811,26.8242
812,26.8243
813,26.8245
814,26.8247
815,26.8249
816,26.8251
817,26.8253
818,26.8254
819,26.8256
820,26.8258
821,26.826
822,26.8262
823,26.8264
824,26.8266
825,26.8267
826,26.8269
827,26.8271
828,26.8273
829,26.8275
830,26.8277
831,26.8278
832,26.828
833,26.8282
834,26.8284
835,26.8286
836,26.8288
837,26.829
838,26.8291
839,26.8293
840,26.8295
841,26.8297
842,26.8299
843,26.8301
844,26.8302
845,26.8304
846,26.8306
847,26.8308
848,26.831
849,26.8312
850,26.8314
851,26.8315
852,26.8317
853,26.8319
854,26.8321
855,26.8323
856,26.8325
857,26.8326
858,26.8328
859,26.833
860,26.8332
861,26.8334
862,26.8336
863,26.8337
864,26.8339
865,26.8341
866,26.8343
867,26.8345
868,26.8347
869,26.8349
870,26.835
871,26.8352
872,26.8354
873,26.8356
874,26.8358
875,26.836
876,26.8361
877,26.8363
878,26.8365
879,26.8367
880,26.8369
881,26.8371
882,26.8372
883,26.8374
884,26.8376
885,26.8378
886,26.838
887,26.8382
888,26.8383
889,26.8385
890,26.8387
891,26.8389
892,26.8391
893,26.8393
894,26.8394
895,26.8396
896,26.8398
897,26.84
898,26.8402
899,26.8404
900,26.8405
901,26.8407
902,26.8409
903,26.8411
904,26.8413
905,26.8415
906,26.8416
907,26.8418
908,26.842
909,26.8422
910,26.8424
911,26.8426
912,26.8427
913,26.8429
914,26.8431
915,26.8433
916,26.8435
917,26.8437
918,26.8438
919,26.844
920,26.8442
921,26.8444
922,26.8446
923,26.8448
924,26.8449
925,26.8451
926,26.8453
927,26.8455
928,26.8457
929,26.8459
930,26.846
931,26.8462
932,26.8464
933,26.8466
934,26.8468
935,26.8469
936,26.8471
937,26.8473
938,26.8475
939,26.8477
940,26.8479
941,26.848
942,26.8482
943,26.8484
944,26.8486
945,26.8488
946,26.849
947,26.8491
948,26.8493
949,26.8495
950,26.8497
951,26.8499
952,26.85
953,26.8502
954,26.8504
955,26.8506
956,26.8508
957,26.851
958,26.8511
959,26.8513
960,26.8515
961,26.8517
962,26.8519
963,26.852
964,26.8522
965,26.8524
966,26.8526
967,26.8528
968,26.853
969,26.8531
970,26.8533
971,26.8535
972,26.8537
973,26.8539
974,26.854
975,26.8542
976,26.8544
977,26.8546
978,26.8548
979,26.8549
980,26.8551
981,26.8553
982,26.8555
983,26.8557
984,26.8558
985,26.856
986,26.8562
987,26.8564
988,26.8566
989,26.8567
990,26.8569
991,26.8571
992,26.8573
993,26.8575
994,26.8577
995,26.8578
996,26.858
997,26.8582
998,26.8584
999,26.8586
1000,26.8587
1001,26.8589
1002,26.8591
1003,26.8593
1004,26.8595
1005,26.8596
1006,26.8598
1007,26.86
1008,26.8602
1009,26.8604
1010,26.8605
1011,26.8607
1012,26.8609
1013,26.8611
1014,26.8613
1015,26.8614
1016,26.8616
1017,26.8618
1018,26.862
1019,26.8621
1020,26.8623
1021,26.8625
1022,26.8627
1023,26.8629
1024,26.863
1025,26.8632
1026,26.8634
1027,26.8636
1028,26.8638
1029,26.8639
1030,26.8641
1031,26.8643
1032,26.8645
1033,26.8647
1034,26.8648
1035,26.865
1036,26.8652
1037,26.8654
1038,26.8655
1039,26.8657
1040,26.8659
1041,26.8661
1042,26.8663
1043,26.8664
1044,26.8666
1045,26.8668
1046,26.867
1047,26.8672
1048,26.8673
1049,26.8675
1050,26.8677
1051,26.8679
1052,26.868
1053,26.8682
1054,26.8684
1055,26.8686
1056,26.8688
1057,26.8689
1058,26.8691
1059,26.8693
1060,26.8695
1061,26.8696
1062,26.8698
1063,26.87
1064,26.8702
1065,26.8703
1066,26.8705
1067,26.8707
1068,26.8709
1069,26.8711
1070,26.8712
1071,26.8714
1072,26.8716
1073,26.8718
1074,26.8719
1075,26.8721
1076,26.8723
1077,26.8725
1078,26.8726
1079,26.8728
1080,26.873
1081,26.8732
1082,26.8734
1083,26.8735
1084,26.8737
1085,26.8739
1086,26.8741
1087,26.8742
1088,26.8744
1089,26.8746
1090,26.8748
1091,26.8749
1092,26.8751
1093,26.8753
1094,26.8755
1095,26.8756
1096,26.8758
1097,26.876
1098,26.8762
1099,26.8763
1100,26.8765
1101,26.8767
1102,26.8769
1103,26.877
1104,26.8772
1105,26.8774
1106,26.8776
1107,26.8777
1108,26.8779
1109,26.8781
1110,26.8783
1111,26.8784
1112,26.8786
1113,26.8788
1114,26.879
1115,26.8791
1116,26.8793
1117,26.8795
1118,26.8797
1119,26.8798
1120,26.88
1121,26.8802
1122,26.8804
1123,26.8805
1124,26.8807
1125,26.8809
1126,26.8811
1127,26.8812
1128,26.8814
1129,26.8816
1130,26.8818
1131,26.8819
1132,26.8821
1133,26.8823
1134,26.8825
1135,26.8826
1136,26.8828
1137,26.883
1138,26.8831
1139,26.8833
1140,26.8835
1141,26.8837
1142,26.8838
1143,26.884
1144,26.8842
1145,26.8844
1146,26.8845
1147,26.8847
1148,26.8849
1149,26.885
1150,26.8852
1151,26.8854
1152,26.8856
1153,26.8857
1154,26.8859
1155,26.8861
1156,26.8863
1157,26.8864
1158,26.8866
1159,26.8868
1160,26.8869
1161,26.8871
1162,26.8873
1163,26.8875
1164,26.8876
1165,26.8878
1166,26.888
1167,26.8881
1168,26.8883
1169,26.8885
1170,26.8887
1171,26.8888
1172,26.889
1173,26.8892
1174,26.8893
1175,26.8895
1176,26.8897
1177,26.8899
1178,26.89
1179,26.8902
1180,26.8904
1181,26.8905
1182,26.8907
1183,26.8909
1184,26.891
1185,26.8912
1186,26.8914
1187,26.8916
1188,26.8917
1189,26.8919
1190,26.8921
1191,26.8922
1192,26.8924
1193,26.8926
1194,26.8927
1195,26.8929
1196,26.8931
1197,26.8933
1198,26.8934
1199,26.8936
1200,26.8938
1201,26.8939
1202,26.8941
1203,26.8943
1204,26.8944
1205,26.8946
1206,26.8948
1207,26.8949
1208,26.8951
1209,26.8953
1210,26.8955
1211,26.8956
1212,26.8958
1213,26.896
1214,26.8961
1215,26.8963
1216,26.8965
1217,26.8966
1218,26.8968
1219,26.897
1220,26.8971
1221,26.8973
1222,26.8975
1223,26.8976
1224,26.8978
1225,26.898
1226,26.8981
1227,26.8983
1228,26.8985
1229,26.8986
1230,26.8988
1231,26.899
1232,26.8991
1233,26.8993
1234,26.8995
1235,26.8996
1236,26.8998
1237,26.9
1238,26.9001
1239,26.9003
1240,26.9005
1241,26.9006
1242,26.9008
1243,26.901
1244,26.9011
1245,26.9013
1246,26.9015
1247,26.9016
1248,26.9018
1249,26.902
1250,26.9021
1251,26.9023
1252,26.9025
1253,26.9026
1254,26.9028
1255,26.903
1256,26.9031
1257,26.9033
1258,26.9035
1259,26.9036
1260,26.9038
1261,26.904
1262,26.9041
1263,26.9043
1264,26.9045
1265,26.9046
1266,26.9048
1267,26.905
1268,26.9051
1269,26.9053
1270,26.9054
1271,26.9056
1272,26.9058
1273,26.9059
1274,26.9061
1275,26.9063
1276,26.9064
1277,26.9066
1278,26.9068
1279,26.9069
1280,26.9071
1281,26.9072
1282,26.9074
1283,26.9076
1284,26.9077
1285,26.9079
1286,26.9081
1287,26.9082
1288,26.9084
1289,26.9086
1290,26.9087
1291,26.9089
1292,26.909
1293,26.9092
1294,26.9094
1295,26.9095
1296,26.9097
1297,26.9099
1298,26.91
1299,26.9102
1300,26.9103
1301,26.9105
1302,26.9107
1303,26.9108
1304,26.911
1305,26.9111
1306,26.9113
1307,26.9115
1308,26.9116
1309,26.9118
1310,26.912
1311,26.9121
1312,26.9123
1313,26.9124
1314,26.9126
1315,26.9128
1316,26.9129
1317,26.9131
1318,26.9132
1319,26.9134
1320,26.9136
1321,26.9137
1322,26.9139
1323,26.914
1324,26.9142
1325,26.9144
1326,26.9145
1327,26.9147
1328,26.9148
1329,26.915
1330,26.9152
1331,26.9153
1332,26.9155
1333,26.9156
1334,26.9158
1335,26.916
1336,26.9161
1337,26.9163
1338,26.9164
1339,26.9166
1340,26.9168
1341,26.9169
1342,26.9171
1343,26.9172
1344,26.9174
1345,26.9175
1346,26.9177
1347,26.9179
1348,26.918
1349,26.9182
1350,26.9183
1351,26.9185
1352,26.9186
1353,26.9188
1354,26.919
1355,26.9191
1356,26.9193
1357,26.9194
1358,26.9196
1359,26.9198
1360,26.9199
1361,26.9201
1362,26.9202
1363,26.9204
1364,26.9205
1365,26.9207
1366,26.9208
1367,26.921
1368,26.9212
1369,26.9213
1370,26.9215
1371,26.9216
1372,26.9218
1373,26.9219
1374,26.9221
1375,26.9223
1376,26.9224
1377,26.9226
1378,26.9227
1379,26.9229
1380,26.923
1381,26.9232
1382,26.9233
1383,26.9235
1384,26.9237
1385,26.9238
1386,26.924
1387,26.9241
1388,26.9243
1389,26.9244
1390,26.9246
1391,26.9247
1392,26.9249
1393,26.925
1394,26.9252
1395,26.9254
1396,26.9255
1397,26.9257
1398,26.9258
1399,26.926
1400,26.9261
1401,26.9263
1402,26.9264
1403,26.9266
1404,26.9267
1405,26.9269
1406,26.927
1407,26.9272
1408,26.9273
1409,26.9275
1410,26.9276
1411,26.9278
1412,26.928
1413,26.9281
1414,26.9283
1415,26.9284
1416,26.9286
1417,26.9287
1418,26.9289
1419,26.929
1420,26.9292
1421,26.9293
1422,26.9295
1423,26.9296
1424,26.9298
1425,26.9299
1426,26.9301
1427,26.9302
1428,26.9304
1429,26.9305
1430,26.9307
1431,26.9308
1432,26.931
1433,26.9311
1434,26.9313
1435,26.9314
1436,26.9316
1437,26.9317
1438,26.9319
1439,26.932
1440,26.9322
1441,26.9323
1442,26.9325
1443,26.9326
1444,26.9328
1445,26.9329
1446,26.9331
1447,26.9332
1448,26.9334
1449,26.9335
1450,26.9337
1451,26.9338
1452,26.934
1453,26.9341
1454,26.9343
1455,26.9344
1456,26.9346
1457,26.9347
1458,26.9349
1459,26.935
1460,26.9352
1461,26.9353
1462,26.9355
1463,26.9356
1464,26.9358
1465,26.9359
1466,26.9361
1467,26.9362
1468,26.9364
1469,26.9365
1470,26.9366
1471,26.9368
1472,26.9369
1473,26.9371
1474,26.9372
1475,26.9374
1476,26.9375
1477,26.9377
1478,26.9378
1479,26.938
1480,26.9381
1481,26.9383
1482,26.9384
1483,26.9386
1484,26.9387
1485,26.9388
1486,26.939
1487,26.9391
1488,26.9393
1489,26.9394
1490,26.9396
1491,26.9397
1492,26.9399
1493,26.94
1494,26.9401
1495,26.9403
1496,26.9404
1497,26.9406
1498,26.9407
1499,26.9409
1500,26.941
1501,26.9412
1502,26.9413
1503,26.9414
1504,26.9416
1505,26.9417
1506,26.9419
1507,26.942
1508,26.9422
1509,26.9423
1510,26.9425
1511,26.9426
1512,26.9427
1513,26.9429
1514,26.943
1515,26.9432
1516,26.9433
1517,26.9435
1518,26.9436
1519,26.9437
1520,26.9439
1521,26.944
1522,26.9442
1523,26.9443
1524,26.9445
1525,26.9446
1526,26.9447
1527,26.9449
1528,26.945
1529,26.9452
1530,26.9453
1531,26.9454
1532,26.9456
1533,26.9457
1534,26.9459
1535,26.946
1536,26.9461
1537,26.9463
1538,26.9464
1539,26.9466
1540,26.9467
1541,26.9469
1542,26.947
1543,26.9471
1544,26.9473
1545,26.9474
1546,26.9476
1547,26.9477
1548,26.9478
1549,26.948
1550,26.9481
1551,26.9483
1552,26.9484
1553,26.9485
1554,26.9487
1555,26.9488
1556,26.9489
1557,26.9491
1558,26.9492
1559,26.9494
1560,26.9495
1561,26.9496
1562,26.9498
1563,26.9499
1564,26.9501
1565,26.9502
1566,26.9503
1567,26.9505
1568,26.9506
1569,26.9507
1570,26.9509
1571,26.951
1572,26.9512
1573,26.9513
1574,26.9514
1575,26.9516
1576,26.9517
1577,26.9518
1578,26.952
1579,26.9521
1580,26.9523
1581,26.9524
1582,26.9525
1583,26.9527
1584,26.9528
1585,26.9529
1586,26.9531
1587,26.9532
1588,26.9533
1589,26.9535
1590,26.9536
1591,26.9537
1592,26.9539
1593,26.954
1594,26.9542
1595,26.9543
1596,26.9544
1597,26.9546
1598,26.9547
1599,26.9548
1600,26.955
1601,26.9551
1602,26.9552
1603,26.9554
1604,26.9555
1605,26.9556
1606,26.9558
1607,26.9559
1608,26.956
1609,26.9562
1610,26.9563
1611,26.9564
1612,26.9566
1613,26.9567
1614,26.9568
1615,26.957
1616,26.9571
1617,26.9572
1618,26.9574
1619,26.9575
1620,26.9576
1621,26.9578
1622,26.9579
1623,26.958
1624,26.9582
1625,26.9583
1626,26.9584
1627,26.9586
1628,26.9587
1629,26.9588
1630,26.9589
1631,26.9591
1632,26.9592
1633,26.9593
1634,26.9595
1635,26.9596
1636,26.9597
1637,26.9599
1638,26.96
1639,26.9601
1640,26.9603
1641,26.9604
