step,0,1,2
0,5.46823,4.53062,0.00115324
1,5.40068,4.51824,0.0810779
2,5.33169,4.5047,0.163608
3,5.26514,4.48987,0.244994
4,5.20168,4.47391,0.324413
5,5.14168,4.457,0.401321
6,5.08483,4.43936,0.475808
7,5.03088,4.42117,0.547958
8,4.97865,4.4026,0.618759
9,4.92859,4.38373,0.687676
10,4.88105,4.36466,0.754291
11,4.83584,4.34548,0.818689
12,4.79277,4.32628,0.880952
13,4.75171,4.30713,0.941159
14,4.71252,4.28809,0.999384
15,4.67441,4.26925,1.05634
16,4.63778,4.2506,1.11162
17,4.60253,4.23219,1.16528
18,4.56804,4.21406,1.21789
19,4.5347,4.19621,1.26909
20,4.50282,4.17864,1.31853
21,4.47231,4.16139,1.3663
22,4.4431,4.14446,1.41244
23,4.41511,4.12787,1.45702
24,4.38827,4.11164,1.50009
25,4.36253,4.09576,1.54171
26,4.33782,4.08024,1.58194
27,4.31409,4.06509,1.62082
28,4.29129,4.05031,1.6584
29,4.26938,4.03589,1.69473
30,4.24787,4.02185,1.73027
31,4.22678,4.00817,1.76505
32,4.2064,3.99484,1.79876
33,4.18633,3.98187,1.8318
34,4.16689,3.96923,1.86388
35,4.14804,3.95693,1.89503
36,4.12977,3.94495,1.92527
37,4.11171,3.93331,1.95499
38,4.09415,3.92197,1.98388
39,4.07709,3.91094,2.01197
40,4.06018,3.90022,2.0396
41,4.04373,3.88978,2.06648
42,4.02772,3.87964,2.09265
43,4.01184,3.86977,2.11839
44,3.99638,3.86017,2.14345
45,3.98105,3.85084,2.16811
46,3.96612,3.84177,2.19211
47,3.95159,3.83294,2.21547
48,3.93719,3.82436,2.23844
49,3.92319,3.81602,2.26079
50,3.90933,3.80791,2.28276
51,3.89587,3.80002,2.30411
52,3.88279,3.79236,2.32486
53,3.86986,3.7849,2.34524
54,3.85732,3.77766,2.36502
55,3.84517,3.77062,2.38421
56,3.83338,3.76377,2.40285
57,3.82194,3.75712,2.42094
58,3.81063,3.75066,2.4387
