step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
12,0,0,0,0,0,0,0,0,4.02678,10.9732,0,0,0,0,0,0,0,3.49995,7.47327,0,0,0,0,0,0,0.526822,3.49995,0,0,0,0,0,0,0,1.05364,5.94626,0,2.70496e-06,4.75932,2.71395,0,0,0,0.526822,0,0,0,0,0,0,0,0,1.58047,0,0.0378023,5.24068,0.667783,7.62706e-112,4.75932,0,0,0,0,0,0,0,2.71395,0,0,0,0,0,0,1.61827,0,5.24068,0,0,0,0,0,0,0,3.38173,4.75932
13,0,0,0,0,0,0,0,0,4.05271,10.9473,0,0,0,0,0,0,0,3.50622,7.44107,0,0,0,0,0,0,0.546496,3.50622,0,0,0,0,0,0,0,1.09299,5.91944,0,8.69709e-06,4.77229,2.66877,0,0,0,0.546496,0,0,0,0,0,0,0,0,1.63949,0,0.034867,5.22771,0.656871,7.43599e-112,4.77229,0,0,0,0,0,0,0,2.66877,0,0,0,0,0,0,1.67435,0,5.22771,0,0,0,0,0,0,0,3.32565,4.77229
14,0,0,0,0,0,0,0,0,4.07641,10.9236,0,0,0,0,0,0,0,3.51163,7.41195,0,0,0,0,0,0,0.56478,3.51163,0,0,0,0,0,0,0,1.12956,5.89371,0,1.64699e-05,4.78498,2.62696,0,0,0,0.56478,0,0,0,0,0,0,0,0,1.69434,0,0.0321798,5.21502,0.646522,7.24902e-112,4.78498,0,0,0,0,0,0,0,2.62696,0,0,0,0,0,0,1.72652,0,5.21502,0,0,0,0,0,0,0,3.27348,4.78498
15,0,0,0,0,0,0,0,0,4.09816,10.9018,0,0,0,0,0,0,0,3.51635,7.3855,0,0,0,0,0,0,0.581809,3.51635,0,0,0,0,0,0,0,1.16362,5.86908,0,2.50077e-05,4.79733,2.58815,0,0,0,0.581809,0,0,0,0,0,0,0,0,1.74543,0,0.0297183,5.20267,0.636708,7.06588e-112,4.79733,0,0,0,0,0,0,0,2.58815,0,0,0,0,0,0,1.77514,0,5.20267,0,0,0,0,0,0,0,3.22486,4.79733
16,0,0,0,0,0,0,0,0,4.11818,10.8818,0,0,0,0,0,0,0,3.52047,7.36135,0,0,0,0,0,0,0.597701,3.52047,0,0,0,0,0,0,0,1.1954,5.84555,0,3.36383e-05,4.80928,2.55203,0,0,0,0.597701,0,0,0,0,0,0,0,0,1.7931,0,0.0274621,5.19072,0.6274,6.88637e-112,4.80928,0,0,0,0,0,0,0,2.55203,0,0,0,0,0,0,1.82056,0,5.19072,0,0,0,0,0,0,0,3.17944,4.80928
17,0,0,0,0,0,0,0,0,4.13667,10.8633,0,0,0,0,0,0,0,3.52411,7.33922,0,0,0,0,0,0,0.612559,3.52411,0,0,0,0,0,0,0,1.22512,5.82311,0,4.19293e-05,4.82081,2.51836,0,0,0,0.612559,0,0,0,0,0,0,0,0,1.83768,0,0.0253926,5.17919,0.618569,6.71038e-112,4.82081,0,0,0,0,0,0,0,2.51836,0,0,0,0,0,0,1.86307,0,5.17919,0,0,0,0,0,0,0,3.13693,4.82081
18,0,0,0,0,0,0,0,0,4.15381,10.8462,0,0,0,0,0,0,0,3.52734,7.31885,0,0,0,0,0,0,0.626473,3.52734,0,0,0,0,0,0,0,1.25295,5.80173,0,4.96154e-05,4.83191,2.4869,0,0,0,0.626473,0,0,0,0,0,0,0,0,1.87942,0,0.0234931,5.16809,0.610187,6.53781e-112,4.83191,0,0,0,0,0,0,0,2.4869,0,0,0,0,0,0,1.90291,0,5.16809,0,0,0,0,0,0,0,3.09709,4.83191
19,0,0,0,0,0,0,0,0,4.16973,10.8303,0,0,0,0,0,0,0,3.53021,7.30006,0,0,0,0,0,0,0.639523,3.53021,0,0,0,0,0,0,0,1.27905,5.78137,0,5.65464e-05,4.84255,2.45746,0,0,0,0.639523,0,0,0,0,0,0,0,0,1.91857,0,0.0217481,5.15745,0.602227,6.3686e-112,4.84255,0,0,0,0,0,0,0,2.45746,0,0,0,0,0,0,1.94032,0,5.15745,0,0,0,0,0,0,0,3.05968,4.84255
20,0,0,0,0,0,0,0,0,4.18456,10.8154,0,0,0,0,0,0,0,3.53278,7.28265,0,0,0,0,0,0,0.65178,3.53278,0,0,0,0,0,0,0,1.30356,5.76201,0,6.26513e-05,4.85274,2.42985,0,0,0,0.65178,0,0,0,0,0,0,0,0,1.95534,0,0.020144,5.14726,0.594663,6.2027e-112,4.85274,0,0,0,0,0,0,0,2.42985,0,0,0,0,0,0,1.97548,0,5.14726,0,0,0,0,0,0,0,3.02452,4.85274
21,0,0,0,0,0,0,0,0,4.19841,10.8016,0,0,0,0,0,0,0,3.5351,7.26649,0,0,0,0,0,0,0.663305,3.5351,0,0,0,0,0,0,0,1.32661,5.7436,0,6.79121e-05,4.86248,2.40394,0,0,0,0.663305,0,0,0,0,0,0,0,0,1.98992,0,0.0186683,5.13752,0.587472,6.0401e-112,4.86248,0,0,0,0,0,0,0,2.40394,0,0,0,0,0,0,2.00858,0,5.13752,0,0,0,0,0,0,0,2.99142,4.86248
