step,sumCost
408,-2210.65
409,-2210.65
410,-2210.65
411,-2210.66
412,-2210.66
413,-2210.66
414,-2210.67
415,-2210.67
416,-2210.67
417,-2210.68
418,-2210.68
419,-2210.68
420,-2210.69
421,-2210.69
422,-2210.69
423,-2210.7
424,-2210.7
425,-2210.7
426,-2210.71
427,-2210.71
428,-2210.71
429,-2210.72
430,-2210.72
431,-2210.72
432,-2210.72
433,-2210.73
434,-2210.73
435,-2210.73
436,-2210.74
437,-2210.74
438,-2210.74
439,-2210.75
440,-2210.75
441,-2210.75
442,-2210.75
443,-2210.76
444,-2210.76
445,-2210.76
446,-2210.76
447,-2210.77
448,-2210.77
449,-2210.77
450,-2210.78
451,-2210.78
452,-2210.78
453,-2210.78
454,-2210.79
455,-2210.79
456,-2210.79
457,-2210.79
458,-2210.8
459,-2210.8
460,-2210.8
461,-2210.8
462,-2210.81
463,-2210.81
464,-2210.81
465,-2210.81
466,-2210.82
467,-2210.82
468,-2210.82
469,-2210.82
470,-2210.83
471,-2210.83
472,-2210.83
473,-2210.83
474,-2210.83
475,-2210.84
476,-2210.84
477,-2210.84
478,-2210.84
479,-2210.85
480,-2210.85
481,-2210.85
482,-2210.85
483,-2210.85
484,-2210.86
485,-2210.86
486,-2210.86
487,-2210.86
488,-2210.87
489,-2210.87
490,-2210.87
491,-2210.87
492,-2210.87
493,-2210.88
494,-2210.88
495,-2210.88
496,-2210.88
497,-2210.88
498,-2210.89
499,-2210.89
500,-2210.89
