step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
29,6.02522,1.97121,1.97121,0.0323511,4.11493e-44,1.15974e-07,1.15974e-07,7.44397e-84,1.01232e-05,1.15974e-07,7.44397e-84,1.01232e-05,1.86138e-38,4.99998,3.09653e-07
30,6.0256,1.97156,1.97156,0.0312685,3.83169e-44,1.11163e-07,1.11163e-07,6.58192e-84,1.00733e-05,1.11163e-07,6.58192e-84,1.00733e-05,1.72662e-38,4.99998,3.05666e-07
31,6.02598,1.9719,1.9719,0.0302227,3.56796e-44,1.06553e-07,1.06553e-07,5.81959e-84,1.00234e-05,1.06553e-07,5.81959e-84,1.00234e-05,1.60162e-38,4.99998,3.01676e-07
32,6.02636,1.97221,1.97221,0.0292124,3.32239e-44,1.02135e-07,1.02135e-07,5.14546e-84,9.97356e-06,1.02135e-07,5.14546e-84,9.97356e-06,1.48566e-38,4.99998,2.97686e-07
33,6.02674,1.97251,1.97251,0.0282363,3.09372e-44,9.79016e-08,9.79016e-08,4.54932e-84,9.92385e-06,9.79016e-08,4.54932e-84,9.92385e-06,1.3781e-38,4.99998,2.93699e-07
34,6.02712,1.9728,1.9728,0.0272932,2.88079e-44,9.38444e-08,9.38444e-08,4.02217e-84,9.87424e-06,9.38444e-08,4.02217e-84,9.87424e-06,1.27833e-38,4.99998,2.89718e-07
35,6.02749,1.97306,1.97306,0.026382,2.68252e-44,8.99563e-08,8.99563e-08,3.55604e-84,9.82473e-06,8.99563e-08,3.55604e-84,9.82473e-06,1.18578e-38,4.99998,2.85747e-07
36,6.02786,1.97332,1.97332,0.0255017,2.49789e-44,8.62301e-08,8.62301e-08,3.14386e-84,9.77533e-06,8.62301e-08,3.14386e-84,9.77533e-06,1.09994e-38,4.99998,2.81787e-07
37,6.02822,1.97356,1.97356,0.024651,2.32597e-44,8.26592e-08,8.26592e-08,2.77941e-84,9.72605e-06,8.26592e-08,2.77941e-84,9.72605e-06,1.0203e-38,4.99998,2.77842e-07
38,6.02858,1.9738,1.9738,0.023829,2.16587e-44,7.92369e-08,7.92369e-08,2.45715e-84,9.67689e-06,7.92369e-08,2.45715e-84,9.67689e-06,9.46437e-39,4.99998,2.73913e-07
39,6.02893,1.97402,1.97402,0.0230348,2.0168e-44,7.59571e-08,7.59571e-08,2.17223e-84,9.62785e-06,7.59571e-08,2.17223e-84,9.62785e-06,8.77918e-39,4.99998,2.70003e-07
40,6.02928,1.97423,1.97423,0.0222673,1.87798e-44,7.28137e-08,7.28137e-08,1.9203e-84,9.57894e-06,7.28137e-08,1.9203e-84,9.57894e-06,8.14359e-39,4.99998,2.66114e-07
41,6.02962,1.97443,1.97443,0.0215256,1.74871e-44,6.98012e-08,6.98012e-08,1.69756e-84,9.53016e-06,6.98012e-08,1.69756e-84,9.53016e-06,7.55401e-39,4.99998,2.62247e-07
