step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
14,0,0,0,0,0,0,0,0,0.963187,9.03681,0,0,0,0,0,0,0,3.76736,5.26946,0,0,0,0,0,0,0,0.963187,0,0,0,0,0,0,0,0,4.73054,0,0.762851,4.50661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.49339,0,1.28362,3.22299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.77701,0,0,0,0,0,0,0,0,3.22299
15,0,0,0,0,0,0,0,0,0.880267,9.11973,0,0,0,0,0,0,0,3.82049,5.29925,0,0,0,0,0,0,0,0.880267,0,0,0,0,0,0,0,0,4.70075,0,0.805194,4.49405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50595,0,1.37146,3.1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8774,0,0,0,0,0,0,0,0,3.1226
16,0,0,0,0,0,0,0,0,0.804556,9.19544,0,0,0,0,0,0,0,3.87038,5.32507,0,0,0,0,0,0,0,0.804556,0,0,0,0,0,0,0,0,4.67493,0,0.843849,4.48122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51878,0,1.45613,3.02509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.97491,0,0,0,0,0,0,0,0,3.02509
17,0,0,0,0,0,0,0,0,0.735405,9.26459,0,0,0,0,0,0,0,3.9172,5.3474,0,0,0,0,0,0,0,0.735405,0,0,0,0,0,0,0,0,4.6526,0,0.879049,4.46835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53165,0,1.53789,2.93046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06954,0,0,0,0,0,0,0,0,2.93046
18,0,0,0,0,0,0,0,0,0.67223,9.32777,0,0,0,0,0,0,0,3.9611,5.36667,0,0,0,0,0,0,0,0.67223,0,0,0,0,0,0,0,0,4.63333,0,0.91102,4.45565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.54435,0,1.61697,2.83869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.16131,0,0,0,0,0,0,0,0,2.83869
19,0,0,0,0,0,0,0,0,0.614499,9.3855,0,0,0,0,0,0,0,4.00222,5.38328,0,0,0,0,0,0,0,0.614499,0,0,0,0,0,0,0,0,4.61672,0,0.939981,4.4433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5567,0,1.69357,2.74973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.25027,0,0,0,0,0,0,0,0,2.74973
20,0,0,0,0,0,0,0,0,0.561731,9.43827,0,0,0,0,0,0,0,4.04071,5.39756,0,0,0,0,0,0,0,0.561731,0,0,0,0,0,0,0,0,4.60244,0,0.966144,4.43142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56858,0,1.76787,2.66354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33646,0,0,0,0,0,0,0,0,2.66354
21,0,0,0,0,0,0,0,0,0.513492,9.48651,0,0,0,0,0,0,0,4.07669,5.40982,0,0,0,0,0,0,0,0.513492,0,0,0,0,0,0,0,0,4.59018,0,0.989708,4.42011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.57989,0,1.84006,2.58005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41995,0,0,0,0,0,0,0,0,2.58005
22,0,0,0,0,0,0,0,0,0.469387,9.53061,0,0,0,0,0,0,0,4.11029,5.42032,0,0,0,0,0,0,0,0.469387,0,0,0,0,0,0,0,0,4.57968,0,1.01087,4.40945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.59055,0,1.91026,2.49919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50081,0,0,0,0,0,0,0,0,2.49919
23,0,0,0,0,0,0,0,0,0.429059,9.57094,0,0,0,0,0,0,0,4.14164,5.4293,0,0,0,0,0,0,0,0.429059,0,0,0,0,0,0,0,0,4.5707,0,1.0298,4.3995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6005,0,1.97862,2.42088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.57912,0,0,0,0,0,0,0,0,2.42088
