step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,5.06766,2.46617,2.46617,1.02062e-106,4.19162e-96,5.38648e-39,5.38648e-39,1.05054e-158,0.265852,5.38648e-39,1.05054e-158,0.265852,1.18576e-322,9.43675e-153,4.4683
1,4.86529,2.56736,2.56736,9.4781e-107,3.89848e-96,0.107971,0.107971,0.0416346,0.348715,0.107971,0.0416346,0.348715,8.39912e-323,7.47186e-153,3.89539
2,4.78014,2.60993,2.60993,8.94095e-107,3.7133e-96,0.179472,0.179472,0.0388797,0.381614,0.179472,0.0388797,0.381614,5.92879e-323,6.34703e-153,3.6206
3,4.74064,2.62968,2.62968,8.48758e-107,3.57122e-96,0.236282,0.236282,0.0359156,0.396415,0.236282,0.0359156,0.396415,5.92879e-323,5.54618e-153,3.42649
4,4.72618,2.63691,2.63691,8.08858e-107,3.45319e-96,0.28406,0.28406,0.0330687,0.401662,0.28406,0.0330687,0.401662,5.92879e-323,4.9284e-153,3.27836
5,4.72607,2.63696,2.63696,7.72834e-107,3.34951e-96,0.32559,0.32559,0.0304014,0.401619,0.32559,0.0304014,0.401619,5.92879e-323,4.4268e-153,3.15919
6,4.73065,2.63467,2.63467,7.39771e-107,3.25485e-96,0.362443,0.362443,0.0279353,0.398603,0.362443,0.0279353,0.398603,5.92879e-323,4.00534e-153,3.0596
7,4.73828,2.63086,2.63086,7.09109e-107,3.16663e-96,0.395534,0.395534,0.0256688,0.393764,0.395534,0.0256688,0.393764,5.92879e-323,3.6439e-153,2.97453
8,4.74787,2.62606,2.62606,6.80458e-107,3.08317e-96,0.425511,0.425511,0.0235928,0.387838,0.425511,0.0235928,0.387838,5.92879e-323,3.32909e-153,2.90061
9,4.75867,2.62067,2.62067,6.53532e-107,3.00335e-96,0.452854,0.452854,0.0216952,0.381302,0.452854,0.0216952,0.381302,5.92879e-323,3.0516e-153,2.83544
10,4.77014,2.61493,2.61493,6.28116e-107,2.9264e-96,0.477932,0.477932,0.0199623,0.374472,0.477932,0.0199623,0.374472,5.92879e-323,2.80473e-153,2.77733
11,4.78192,2.60904,2.60904,6.04045e-107,2.85178e-96,0.501034,0.501034,0.0183794,0.367664,0.501034,0.0183794,0.367664,5.92879e-323,1.80287e-06,2.72481
12,4.79375,2.60312,2.60312,5.81189e-107,2.77917e-96,0.522392,0.522392,0.0169317,0.361196,0.522392,0.0169317,0.361196,5.92879e-323,8.09428e-06,2.67656
13,4.80551,2.59725,2.59725,5.5945e-107,2.70834e-96,0.542192,0.542192,0.0156074,0.355056,0.542192,0.0156074,0.355056,5.92879e-323,1.68887e-05,2.63208
14,4.81708,2.59146,2.59146,5.38742e-107,2.63916e-96,0.560592,0.560592,0.0143955,0.349231,0.560592,0.0143955,0.349231,5.92879e-323,2.68465e-05,2.59095
15,4.82838,2.58581,2.58581,5.1899e-107,2.57149e-96,0.577728,0.577728,0.013286,0.343704,0.577728,0.013286,0.343704,5.92879e-323,3.70783e-05,2.5528
16,4.83936,2.58032,2.58032,5.00128e-107,2.50527e-96,0.593719,0.593719,0.0122695,0.33846,0.593719,0.0122695,0.33846,5.92879e-323,4.70089e-05,2.51734
17,4.84998,2.57501,2.57501,4.82098e-107,2.44042e-96,0.608669,0.608669,0.0113377,0.333482,0.608669,0.0113377,0.333482,5.92879e-323,5.62808e-05,2.4843
18,4.86022,2.56989,2.56989,4.64847e-107,2.37692e-96,0.622669,0.622669,0.0104828,0.328756,0.622669,0.0104828,0.328756,5.92879e-323,6.46878e-05,2.45345
19,4.87007,2.56497,2.56497,4.48328e-107,2.31471e-96,0.635798,0.635798,0.00969795,0.324267,0.635798,0.00969795,0.324267,5.92879e-323,7.21264e-05,2.42461
20,4.87951,2.56025,2.56025,4.32498e-107,2.25379e-96,0.648128,0.648128,0.00897688,0.319999,0.648128,0.00897688,0.319999,5.92879e-323,7.85629e-05,2.39758
