step,0,1,2,3,4,5,6,7
75,10,5.88985,4.11015,5.88985,4.11015,2.1886e-07,5.88985,4.11015
76,10,5.88492,4.11508,5.88492,4.11508,2.17991e-07,5.88492,4.11508
77,10,5.88011,4.11989,5.8801,4.11989,2.1713e-07,5.8801,4.1199
78,10,5.8754,4.1246,5.8754,4.1246,2.16276e-07,5.8754,4.1246
79,10,5.8708,4.1292,5.8708,4.1292,2.15431e-07,5.8708,4.1292
80,10,5.86631,4.13369,5.86631,4.13369,2.14592e-07,5.86631,4.13369
81,10,5.86191,4.13809,5.86191,4.13809,2.13761e-07,5.86191,4.13809
82,10,5.85762,4.14238,5.85762,4.14238,2.12937e-07,5.85762,4.14238
83,10,5.85343,4.14657,5.85343,4.14657,2.1212e-07,5.85343,4.14657
84,10,5.84933,4.15067,5.84933,4.15067,2.1131e-07,5.84933,4.15067
85,10,5.84532,4.15468,5.84532,4.15468,2.10506e-07,5.84532,4.15468
86,10,5.84141,4.15859,5.8414,4.15859,2.0971e-07,5.8414,4.1586
87,10,5.83758,4.16242,5.83758,4.16242,2.08919e-07,5.83758,4.16242
88,10,5.83384,4.16616,5.83384,4.16616,2.08136e-07,5.83384,4.16616
89,10,5.83018,4.16982,5.83018,4.16982,2.07358e-07,5.83018,4.16982
90,10,5.8266,4.1734,5.8266,4.1734,2.06587e-07,5.8266,4.1734
91,10,5.82311,4.17689,5.82311,4.17689,2.05821e-07,5.82311,4.17689
92,10,5.81969,4.18031,5.81969,4.18031,2.05062e-07,5.81969,4.18031
93,10,5.81635,4.18365,5.81635,4.18365,2.04308e-07,5.81635,4.18365
94,10,5.81309,4.18691,5.81309,4.18691,2.03561e-07,5.81309,4.18691
95,10,5.8099,4.1901,5.8099,4.1901,2.02818e-07,5.8099,4.1901
96,10,5.80678,4.19322,5.80678,4.19322,2.02082e-07,5.80678,4.19322
97,10,5.80373,4.19627,5.80373,4.19627,2.0135e-07,5.80373,4.19627
98,10,5.80074,4.19926,5.80074,4.19926,2.00624e-07,5.80074,4.19926
99,10,5.79783,4.20217,5.79783,4.20217,1.99904e-07,5.79783,4.20217
100,10,5.79497,4.20503,5.79497,4.20503,1.99188e-07,5.79497,4.20503
101,10,5.79219,4.20781,5.79219,4.20781,1.98478e-07,5.79219,4.20781
102,10,5.78946,4.21054,5.78946,4.21054,1.97772e-07,5.78946,4.21054
103,10,5.78679,4.21321,5.78679,4.21321,1.97072e-07,5.78679,4.21321
104,10,5.78419,4.21581,5.78419,4.21581,1.96376e-07,5.78419,4.21581
105,10,5.78164,4.21836,5.78164,4.21836,1.95685e-07,5.78164,4.21836
106,10,5.77915,4.22085,5.77914,4.22085,1.94999e-07,5.77914,4.22086
107,10,5.77671,4.22329,5.77671,4.22329,1.94317e-07,5.77671,4.22329
108,10,5.77432,4.22568,5.77432,4.22568,1.9364e-07,5.77432,4.22568
109,10,5.77199,4.22801,5.77199,4.22801,1.92967e-07,5.77199,4.22801
110,10,5.76971,4.23029,5.76971,4.23029,1.92299e-07,5.76971,4.23029
111,10,5.76748,4.23252,5.76748,4.23252,1.91635e-07,5.76748,4.23252
112,10,5.7653,4.2347,5.7653,4.2347,1.90976e-07,5.7653,4.2347
113,10,5.76317,4.23683,5.76317,4.23683,1.9032e-07,5.76317,4.23683
114,10,5.76108,4.23892,5.76108,4.23892,1.89669e-07,5.76108,4.23892
115,10,5.75904,4.24096,5.75904,4.24096,1.8903e-07,5.75904,4.24096
116,10,5.75705,4.24295,5.75705,4.24295,1.88402e-07,5.75705,4.24295
117,10,5.7551,4.2449,5.7551,4.2449,1.87786e-07,5.7551,4.2449
118,10,5.75319,4.24681,5.75319,4.24681,1.87181e-07,5.75319,4.24681
119,10,5.75132,4.24868,5.75132,4.24868,1.86587e-07,5.75132,4.24868
120,10,5.7495,4.2505,5.7495,4.2505,1.86004e-07,5.7495,4.2505
121,10,5.74771,4.25229,5.74771,4.25229,1.85438e-07,5.74771,4.25229
122,10,5.74596,4.25404,5.74596,4.25404,1.84888e-07,5.74596,4.25404
