step,0,1,2,3,4,5,6,7,8,9,10
58,10,4.17134,5.82866,4.17134,3.79661,2.03206,4.17134,3.79661,2.03206,7.96794,2.03206
59,10,4.16588,5.83412,4.16588,3.7909,2.04323,4.16588,3.7909,2.04323,7.95677,2.04323
60,10,4.16061,5.83939,4.16061,3.78536,2.05404,4.16061,3.78536,2.05404,7.94596,2.05404
61,10,4.15553,5.84447,4.15553,3.77997,2.0645,4.15553,3.77997,2.0645,7.9355,2.0645
62,10,4.15062,5.84938,4.15062,3.77475,2.07462,4.15062,3.77475,2.07462,7.92538,2.07462
63,10,4.14589,5.85411,4.14589,3.76968,2.08443,4.14589,3.76968,2.08443,7.91557,2.08443
64,10,4.14133,5.85867,4.14133,3.76476,2.09391,4.14133,3.76476,2.09391,7.90609,2.09391
65,10,4.13693,5.86307,4.13693,3.75998,2.1031,4.13693,3.75998,2.1031,7.8969,2.1031
66,10,4.13268,5.86732,4.13268,3.75534,2.11199,4.13268,3.75534,2.11199,7.88801,2.11199
67,10,4.12858,5.87142,4.12858,3.75083,2.12059,4.12858,3.75083,2.12059,7.87941,2.12059
68,10,4.12462,5.87538,4.12462,3.74646,2.12892,4.12462,3.74646,2.12892,7.87108,2.12892
69,10,4.1208,5.8792,4.1208,3.74221,2.13698,4.1208,3.74221,2.13698,7.86302,2.13698
70,10,4.11712,5.88288,4.11712,3.73809,2.14479,4.11712,3.73809,2.14479,7.85521,2.14479
71,10,4.11356,5.88644,4.11356,3.73409,2.15235,4.11356,3.73409,2.15235,7.84765,2.15235
72,10,4.11013,5.88987,4.11013,3.73021,2.15966,4.11013,3.73021,2.15966,7.84034,2.15966
73,10,4.10681,5.89319,4.10681,3.72644,2.16674,4.10681,3.72644,2.16674,7.83326,2.16674
74,10,4.10362,5.89638,4.10362,3.72278,2.1736,4.10362,3.72278,2.1736,7.8264,2.1736
75,10,4.10053,5.89947,4.10053,3.71923,2.18024,4.10053,3.71923,2.18024,7.81976,2.18024
76,10,4.09755,5.90245,4.09755,3.71578,2.18667,4.09755,3.71578,2.18667,7.81333,2.18667
77,10,4.09467,5.90533,4.09467,3.71244,2.19289,4.09467,3.71244,2.19289,7.80711,2.19289
78,10,4.09189,5.90811,4.09189,3.70919,2.19892,4.09189,3.70919,2.19892,7.80108,2.19892
79,10,4.08921,5.91079,4.08921,3.70604,2.20475,4.08921,3.70604,2.20475,7.79525,2.20475
80,10,4.08662,5.91338,4.08662,3.70298,2.2104,4.08662,3.70298,2.2104,7.7896,2.2104
81,10,4.08412,5.91588,4.08412,3.70001,2.21587,4.08412,3.70001,2.21587,7.78413,2.21587
82,10,4.08171,5.91829,4.08171,3.69713,2.22116,4.08171,3.69713,2.22116,7.77884,2.22116
83,10,4.07938,5.92062,4.07938,3.69433,2.22629,4.07938,3.69433,2.22629,7.77371,2.22629
84,10,4.07713,5.92287,4.07713,3.69161,2.23126,4.07713,3.69161,2.23126,7.76874,2.23126
85,10,4.07496,5.92504,4.07496,3.68897,2.23607,4.07496,3.68897,2.23607,7.76393,2.23607
86,10,4.07286,5.92714,4.07286,3.68642,2.24072,4.07286,3.68642,2.24072,7.75928,2.24072
87,10,4.07083,5.92917,4.07083,3.68393,2.24523,4.07083,3.68393,2.24523,7.75477,2.24523
88,10,4.06888,5.93112,4.06888,3.68152,2.2496,4.06888,3.68152,2.2496,7.7504,2.2496
89,10,4.06699,5.93301,4.06699,3.67918,2.25383,4.06699,3.67918,2.25383,7.74617,2.25383
90,10,4.06516,5.93484,4.06516,3.67691,2.25792,4.06516,3.67691,2.25792,7.74208,2.25792
91,10,4.0634,5.9366,4.0634,3.67471,2.26189,4.0634,3.67471,2.26189,7.73811,2.26189
92,10,4.0617,5.9383,4.0617,3.67257,2.26573,4.0617,3.67257,2.26573,7.73427,2.26573
93,10,4.06006,5.93994,4.06006,3.67049,2.26945,4.06006,3.67049,2.26945,7.73055,2.26945
94,10,4.05847,5.94153,4.05847,3.66848,2.27305,4.05847,3.66848,2.27305,7.72695,2.27305
95,10,4.05694,5.94306,4.05694,3.66652,2.27654,4.05694,3.66652,2.27654,7.72346,2.27654
96,10,4.05546,5.94454,4.05546,3.66462,2.27992,4.05546,3.66462,2.27992,7.72008,2.27992
97,10,4.05403,5.94597,4.05403,3.66278,2.28319,4.05403,3.66278,2.28319,7.71681,2.28319
98,10,4.05265,5.94735,4.05265,3.66099,2.28636,4.05265,3.66099,2.28636,7.71364,2.28636
99,10,4.05131,5.94869,4.05131,3.65925,2.28943,4.05131,3.65925,2.28943,7.71057,2.28943
100,10,4.05002,5.94998,4.05002,3.65757,2.29241,4.05002,3.65757,2.29241,7.70759,2.29241
101,10,4.04878,5.95122,4.04878,3.65594,2.29529,4.04878,3.65594,2.29529,7.70471,2.29529
102,10,4.04757,5.95243,4.04757,3.65435,2.29808,4.04757,3.65435,2.29808,7.70192,2.29808
103,10,4.04641,5.95359,4.04641,3.65281,2.30078,4.04641,3.65281,2.30078,7.69922,2.30078
104,10,4.04529,5.95471,4.04529,3.65131,2.3034,4.04529,3.65131,2.3034,7.6966,2.3034
105,10,4.04421,5.95579,4.04421,3.64986,2.30593,4.04421,3.64986,2.30593,7.69407,2.30593
106,10,4.04316,5.95684,4.04316,3.64846,2.30838,4.04316,3.64846,2.30838,7.69162,2.30838
107,10,4.04215,5.95785,4.04215,3.64709,2.31076,4.04215,3.64709,2.31076,7.68924,2.31076
108,10,4.04117,5.95883,4.04117,3.64576,2.31307,4.04117,3.64576,2.31307,7.68693,2.31307
109,10,4.04022,5.95978,4.04022,3.64448,2.3153,4.04022,3.64448,2.3153,7.6847,2.3153
110,10,4.03931,5.96069,4.03931,3.64323,2.31746,4.03931,3.64323,2.31746,7.68254,2.31746
111,10,4.03843,5.96157,4.03843,3.64202,2.31955,4.03843,3.64202,2.31955,7.68045,2.31955
112,10,4.03758,5.96242,4.03758,3.64084,2.32158,4.03758,3.64084,2.32158,7.67842,2.32158
113,10,4.03676,5.96324,4.03676,3.6397,2.32354,4.03676,3.6397,2.32354,7.67646,2.32354
114,10,4.03596,5.96404,4.03596,3.63859,2.32545,4.03596,3.63859,2.32545,7.67455,2.32545
115,10,4.03519,5.96481,4.03519,3.63752,2.32729,4.03519,3.63752,2.32729,7.67271,2.32729
116,10,4.03445,5.96555,4.03445,3.63648,2.32908,4.03445,3.63648,2.32908,7.67092,2.32908
117,10,4.03373,5.96627,4.03373,3.63546,2.3308,4.03373,3.63546,2.3308,7.6692,2.3308
118,10,4.03304,5.96696,4.03304,3.63448,2.33248,4.03304,3.63448,2.33248,7.66752,2.33248
119,10,4.03237,5.96763,4.03237,3.63353,2.3341,4.03237,3.63353,2.3341,7.6659,2.3341
120,10,4.03172,5.96828,4.03172,3.6326,2.33568,4.03172,3.6326,2.33568,7.66432,2.33568
121,10,4.0311,5.9689,4.0311,3.63171,2.3372,4.0311,3.63171,2.3372,7.6628,2.3372
122,10,4.03049,5.96951,4.03049,3.63083,2.33867,4.03049,3.63083,2.33867,7.66133,2.33867
123,10,4.02991,5.97009,4.02991,3.62999,2.3401,4.02991,3.62999,2.3401,7.6599,2.3401
124,10,4.02934,5.97066,4.02934,3.62917,2.34149,4.02934,3.62917,2.34149,7.65851,2.34149
125,10,4.0288,5.9712,4.0288,3.62837,2.34283,4.0288,3.62837,2.34283,7.65717,2.34283
126,10,4.02827,5.97173,4.02827,3.6276,2.34413,4.02827,3.6276,2.34413,7.65587,2.34413
127,10,4.02776,5.97224,4.02776,3.62685,2.34539,4.02776,3.62685,2.34539,7.65461,2.34539
128,10,4.02727,5.97273,4.02727,3.62612,2.34661,4.02727,3.62612,2.34661,7.65339,2.34661
129,10,4.02679,5.97321,4.02679,3.62542,2.34779,4.02679,3.62542,2.34779,7.65221,2.34779
130,10,4.02633,5.97367,4.02633,3.62473,2.34893,4.02633,3.62473,2.34893,7.65107,2.34893
131,10,4.02589,5.97411,4.02589,3.62407,2.35004,4.02589,3.62407,2.35004,7.64996,2.35004
132,10,4.02546,5.97454,4.02546,3.62342,2.35112,4.02546,3.62342,2.35112,7.64888,2.35112
133,10,4.02504,5.97496,4.02504,3.6228,2.35216,4.02504,3.6228,2.35216,7.64784,2.35216
134,10,4.02464,5.97536,4.02464,3.62219,2.35317,4.02464,3.62219,2.35317,7.64683,2.35317
135,10,4.02425,5.97575,4.02425,3.6216,2.35414,4.02425,3.6216,2.35414,7.64586,2.35414
