step,0,1,2,3,4,5,6,7,8,9,10
58,10,3.81063,6.18937,3.81063,3.75066,2.4387,3.81063,3.75066,2.4387,7.5613,2.4387
59,10,3.7997,6.2003,3.7997,3.74438,2.45592,3.7997,3.74438,2.45592,7.54408,2.45592
60,10,3.78911,6.21089,3.78911,3.73829,2.47261,3.78911,3.73829,2.47261,7.52739,2.47261
61,10,3.77886,6.22114,3.77886,3.73236,2.48878,3.77886,3.73236,2.48878,7.51122,2.48878
62,10,3.76893,6.23107,3.76893,3.72661,2.50446,3.76893,3.72661,2.50446,7.49554,2.50446
63,10,3.75932,6.24068,3.75932,3.72102,2.51966,3.75932,3.72102,2.51966,7.48034,2.51966
64,10,3.74981,6.25019,3.74981,3.7156,2.53459,3.74981,3.7156,2.53459,7.46541,2.53459
65,10,3.7404,6.2596,3.7404,3.71033,2.54926,3.7404,3.71033,2.54926,7.45074,2.54926
66,10,3.73133,6.26867,3.73133,3.70522,2.56345,3.73133,3.70522,2.56345,7.43655,2.56345
67,10,3.72257,6.27743,3.72257,3.70025,2.57717,3.72257,3.70025,2.57717,7.42283,2.57717
68,10,3.71412,6.28588,3.71412,3.69543,2.59045,3.71412,3.69543,2.59045,7.40955,2.59045
69,10,3.70596,6.29404,3.70596,3.69076,2.60328,3.70596,3.69076,2.60328,7.39672,2.60328
70,10,3.69808,6.30192,3.69808,3.68622,2.6157,3.69808,3.68622,2.6157,7.3843,2.6157
71,10,3.69047,6.30953,3.69047,3.68181,2.62772,3.69047,3.68181,2.62772,7.37228,2.62772
72,10,3.68313,6.31687,3.68313,3.67754,2.63934,3.68313,3.67754,2.63934,7.36066,2.63934
73,10,3.67603,6.32397,3.67603,3.67339,2.65059,3.67603,3.67339,2.65059,7.34941,2.65059
74,10,3.66917,6.33083,3.66917,3.66936,2.66147,3.66917,3.66936,2.66147,7.33853,2.66147
75,10,3.66254,6.33746,3.66254,3.66546,2.672,3.66254,3.66546,2.672,7.328,2.672
76,10,3.65613,6.34387,3.65613,3.66168,2.68219,3.65613,3.66168,2.68219,7.31781,2.68219
77,10,3.64994,6.35006,3.64994,3.65801,2.69205,3.64994,3.65801,2.69205,7.30795,2.69205
78,10,3.64378,6.35622,3.64378,3.65445,2.70178,3.64378,3.65445,2.70178,7.29822,2.70178
79,10,3.63764,6.36236,3.63764,3.651,2.71136,3.63764,3.651,2.71136,7.28864,2.71136
80,10,3.63137,6.36863,3.63137,3.64765,2.72098,3.63137,3.64765,2.72098,7.27902,2.72098
81,10,3.62518,6.37482,3.62518,3.6444,2.73042,3.62518,3.6444,2.73042,7.26958,2.73042
