step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,50.0831,30.083,30.083,61.0808,60.0831,3,3,17.0841,7.08414,3,17.0841,7.08414,47.0819,37.0819,27.0819
1,42.0385,33.6114,17.8,39.145,36.2271,3.05426,-12.7571,3.82192,9.63331,-28.5685,-11.9895,-6.17808,8.35551,14.1669,19.9783
2,34.196,37.2029,16.4903,28.0398,23.4834,3.27414,-17.4385,1.6462,12.3588,-38.1511,-19.0664,-8.3538,-8.5169,2.19572,12.9083
3,30.2159,38.5727,16.1362,22.9739,17.7794,3.57269,-18.8639,0.947284,13.3838,-41.3004,-21.4893,-9.05272,-15.6516,-3.21501,9.22155
4,28.0097,38.9072,16.1274,20.6403,15.2299,3.88913,-18.8907,0.820832,13.6007,-41.6706,-21.959,-9.17917,-18.4461,-5.66621,7.11366
5,26.745,38.7296,15.6115,19.0357,13.6269,4.19473,-18.9234,0.305934,13.424,-42.0414,-22.8121,-9.69407,-20.388,-7.26993,5.84815
6,25.9392,38.3642,14.9128,17.8267,12.4878,4.48311,-18.9683,-0.354739,13.0967,-42.4197,-23.8062,-10.3547,-21.8922,-8.44083,5.01059
7,25.3635,37.9658,14.1857,16.8635,11.5834,4.75173,-19.0284,-1.04974,12.7303,-42.8084,-24.8298,-11.0497,-23.152,-9.37196,4.40813
8,24.9136,37.5912,13.487,16.0678,10.8093,5.00082,-19.1034,-1.73669,12.3676,-43.2077,-25.841,-11.7367,-24.2602,-10.1559,3.94837
9,24.5393,37.2588,12.8347,15.3944,10.1151,5.23135,-19.1928,-2.40034,12.0238,-43.6169,-26.8245,-12.4003,-25.2648,-10.8406,3.58351
10,24.2169,36.9717,12.2318,14.8167,9.47705,5.44368,-19.2962,-3.03617,11.7037,-44.0361,-27.7761,-13.0362,-26.1911,-11.4512,3.2887
11,23.9328,36.7275,8.17039,10.8099,5.37561,5.6387,-22.9185,-7.14916,11.408,-51.4756,-35.7063,-17.1492,-34.0668,-15.5097,3.0475
12,23.4997,36.6958,6.91588,9.47248,3.71987,5.82544,-23.9544,-8.57807,11.2018,-53.7343,-38.3579,-18.5781,-36.8013,-17.0215,2.75841
13,23.1248,36.676,6.676,9.2181,3.12484,5.99409,-24.0059,-9.00574,10.9943,-54.0059,-39.0057,-19.0057,-37.4636,-17.4636,2.53636
14,22.8364,36.6284,6.62841,9.23779,2.8364,6.14465,-23.8553,-9.22424,10.7758,-53.8553,-39.2242,-19.2242,-37.6149,-17.6149,2.38514
15,22.6126,36.5626,6.56258,9.28883,2.61259,6.27975,-23.7202,-9.44335,10.5567,-53.7202,-39.4433,-19.4433,-37.7171,-17.7171,2.2829
16,22.4312,36.4913,6.49126,9.35684,2.43123,6.40199,-23.598,-9.65442,10.3456,-53.598,-39.6544,-19.6544,-37.7888,-17.7888,2.21116
17,22.2787,36.4207,6.42065,9.43219,2.27871,6.51351,-23.4865,-9.85331,10.1467,-53.4865,-39.8533,-19.8533,-37.8418,-17.8418,2.15823
18,22.1464,36.3534,6.3534,9.50834,2.14642,6.6161,-23.3839,-10.0384,9.96164,-53.3839,-40.0384,-20.0384,-37.8834,-17.8834,2.11658
19,22.0289,36.2902,6.29025,9.58088,2.02886,6.71122,-23.2888,-10.2094,9.79065,-53.2888,-40.2094,-20.2094,-37.9187,-17.9187,2.08128
20,21.9225,36.2309,6.23094,9.64689,1.92246,6.80011,-23.1999,-10.3668,9.63321,-53.1999,-40.3668,-20.3668,-37.9508,-17.9508,2.04917
21,21.8249,36.1747,6.17473,9.7045,1.82487,6.88377,-23.1162,-10.5116,9.48841,-53.1162,-40.5116,-20.5116,-37.9818,-17.9818,2.01818
22,21.7345,36.1207,6.12071,9.75261,1.73455,6.96305,-23.037,-10.6448,9.35515,-53.037,-40.6448,-20.6448,-38.0129,-18.0129,1.98705
23,21.6505,36.0679,6.06794,9.79069,1.65045,7.03864,-22.9614,-10.7677,9.23228,-52.9614,-40.7677,-20.7677,-38.045,-18.045,1.95504
24,21.5719,36.0155,6.01553,9.81858,1.5719,7.11111,-22.8889,-10.8813,9.11867,-52.8889,-40.8813,-20.8813,-38.0783,-18.0783,1.92173
25,21.4984,35.9627,5.96271,9.83642,1.49842,7.18093,-22.8191,-10.9867,9.01326,-52.8191,-40.9867,-20.9867,-38.113,-18.113,1.88697
26,21.4297,35.9089,5.90886,9.84454,1.42968,7.2485,-22.7515,-11.0849,8.91507,-52.7515,-41.0849,-21.0849,-38.1492,-18.1492,1.85075
27,21.3654,35.8534,5.85344,9.84339,1.36542,7.31414,-22.6859,-11.1768,8.82321,-52.6859,-41.1768,-21.1768,-38.1868,-18.1868,1.81316
28,21.3055,35.7961,5.79608,9.83352,1.30546,7.37812,-22.6219,-11.2631,8.73689,-52.6219,-41.2631,-21.2631,-38.2257,-18.2257,1.77432
29,21.2496,35.7365,5.73649,9.81549,1.24962,7.44065,-22.5594,-11.3446,8.65542,-52.5594,-41.3446,-21.3446,-38.2656,-18.2656,1.73442
30,21.1978,35.6745,5.67448,9.78992,1.19777,7.50191,-22.4981,-11.4218,8.5782,-52.4981,-41.4218,-21.4218,-38.3064,-18.3064,1.69363
31,21.1497,35.61,5.60996,9.75739,1.14973,7.56205,-22.438,-11.4953,8.50469,-52.438,-41.4953,-21.4953,-38.3479,-18.3479,1.65212
32,21.1054,35.5429,5.54288,9.71851,1.10538,7.6212,-22.3788,-11.5656,8.43444,-52.3788,-41.5656,-21.5656,-38.3899,-18.3899,1.61007
33,21.0646,35.4733,5.47328,9.67383,1.06455,7.67945,-22.3206,-11.6329,8.36707,-52.3206,-41.6329,-21.6329,-38.4324,-18.4324,1.56762
34,21.0271,35.4012,5.40123,9.6239,1.02709,7.73688,-22.2631,-11.6978,8.30225,-52.2631,-41.6978,-21.6978,-38.4751,-18.4751,1.52492
35,20.9928,35.3268,5.32685,9.56923,0.992842,7.79357,-22.2064,-11.7603,8.23969,-52.2064,-41.7603,-21.7603,-38.5179,-18.5179,1.48207
36,20.9616,35.2503,5.25026,9.51028,0.961637,7.84957,-22.1504,-11.8208,8.17916,-52.1504,-41.8208,-21.8208,-38.5608,-18.5608,1.43918
37,20.9333,35.1716,5.17164,9.44751,0.93331,7.90492,-22.0951,-11.8795,8.12046,-52.0951,-41.8795,-21.8795,-38.6037,-18.6037,1.39633
38,20.9077,35.0912,5.09117,9.38132,0.907694,7.95966,-22.0403,-11.9366,8.06344,-52.0403,-41.9366,-21.9366,-38.6464,-18.6464,1.3536
39,20.8846,35.009,5.00902,9.3121,0.884621,8.01382,-21.9862,-11.9921,8.00794,-51.9862,-41.9921,-21.9921,-38.689,-18.689,1.31103
40,20.8639,34.9254,4.92539,9.24019,0.863923,8.06742,-21.9326,-12.0461,7.95387,-51.9326,-42.0461,-22.0461,-38.7313,-18.7313,1.26868
41,20.8454,34.8405,4.84051,9.16592,0.845439,8.12046,-21.8795,-12.0988,7.90116,-51.8795,-42.0988,-22.0988,-38.7734,-18.7734,1.22657
42,20.829,34.7546,4.75457,9.08958,0.829007,8.17296,-21.827,-12.1503,7.84972,-51.827,-42.1503,-22.1503,-38.8153,-18.8153,1.18473
43,20.8145,34.6677,4.66775,9.01144,0.814474,8.22494,-21.7751,-12.2005,7.79949,-51.7751,-42.2005,-22.2005,-38.8568,-18.8568,1.14319
44,20.8017,34.5802,4.58022,8.93175,0.801686,8.2764,-21.7236,-12.2496,7.75041,-51.7236,-42.2496,-22.2496,-38.8981,-18.8981,1.10194
45,20.7905,34.4922,4.49217,8.85074,0.790499,8.32736,-21.6726,-12.2976,7.70243,-51.6726,-42.2976,-22.2976,-38.939,-18.939,1.061
46,20.7808,34.4038,4.40376,8.7686,0.78077,8.37782,-21.6222,-12.3445,7.65552,-51.6222,-42.3445,-22.3445,-38.9796,-18.9796,1.02037
47,20.7724,34.3152,4.31515,8.68554,0.772365,8.42779,-21.5722,-12.3904,7.60965,-51.5722,-42.3904,-22.3904,-39.02,-19.02,0.980036
48,20.7652,34.2265,4.2265,8.60172,0.765154,8.47727,-21.5227,-12.4352,7.56479,-51.5227,-42.4352,-22.4352,-39.06,-19.06,0.940007
49,20.759,34.138,4.13795,8.5173,0.759015,8.52626,-21.4737,-12.4791,7.52092,-51.4737,-42.4791,-22.4791,-39.0997,-19.0997,0.90027
50,20.7538,34.0496,4.04965,8.43242,0.753831,8.57478,-21.4252,-12.522,7.47804,-51.4252,-42.522,-22.522,-39.1392,-19.1392,0.860817
51,20.7495,33.9617,3.96171,8.34722,0.749493,8.62281,-21.3772,-12.5639,7.43612,-51.3772,-42.5639,-22.5639,-39.1784,-19.1784,0.821638
52,20.7459,33.8742,3.87425,8.26181,0.745896,8.67037,-21.3296,-12.6048,7.39516,-51.3296,-42.6048,-22.6048,-39.2173,-19.2173,0.782723
53,20.7429,33.7874,3.78739,8.17631,0.742944,8.71744,-21.2826,-12.6449,7.35514,-51.2826,-42.6449,-22.6449,-39.2559,-19.2559,0.744062
54,20.7405,33.7012,3.70122,8.0908,0.740545,8.76403,-21.236,-12.6839,7.31606,-51.236,-42.6839,-22.6839,-39.2944,-19.2944,0.705645
55,20.7386,33.6158,3.61584,8.00539,0.738615,8.81015,-21.1898,-12.7221,7.27791,-51.1898,-42.7221,-22.7221,-39.3325,-19.3325,0.66746
56,20.7371,33.5313,3.53133,7.92016,0.737074,8.85579,-21.1442,-12.7593,7.24067,-51.1442,-42.7593,-22.7593,-39.3705,-19.3705,0.629499
57,20.7358,33.4478,3.44777,7.83517,0.735849,8.90095,-21.0991,-12.7956,7.20435,-51.0991,-42.7956,-22.7956,-39.4082,-19.4082,0.591753
58,20.7349,33.3652,3.36523,7.75051,0.734872,8.94563,-21.0544,-12.8311,7.16893,-51.0544,-42.8311,-22.8311,-39.4458,-19.4458,0.554212
59,20.7341,33.2838,3.28377,7.66622,0.734079,8.98983,-21.0102,-12.8656,7.13441,-51.0102,-42.8656,-22.8656,-39.4831,-19.4831,0.516869
60,20.7334,33.2034,3.20344,7.58238,0.733413,9.03356,-20.9664,-12.8992,7.10077,-50.9664,-42.8992,-22.8992,-39.5203,-19.5203,0.479716
61,20.7328,33.1243,3.12429,7.49902,0.732821,9.07681,-20.9232,-12.932,7.06802,-50.9232,-42.932,-22.932,-39.5573,-19.5573,0.442748
62,20.7323,33.0464,3.04636,7.4162,0.732255,9.11958,-20.8804,-12.9639,7.03612,-50.8804,-42.9639,-22.9639,-39.594,-19.594,0.405958
