step,0,1,2,3
0,4.06239,-1,9.06239,6.12478
1,4.03184,-1.50709,8.52475,6.06369
2,3.99934,-1.71714,8.2822,5.99867
3,3.96676,-1.81957,8.14719,5.93353
4,3.93477,-1.91056,8.02422,5.86955
5,3.90341,-1.91954,7.98388,5.80682
6,3.87313,-1.92843,7.9447,5.74626
7,3.84388,-1.93723,7.90664,5.68775
8,3.81561,-1.94596,7.86965,5.63121
9,3.78827,-1.9546,7.83367,5.57655
10,3.76184,-1.96317,7.79867,5.52367
11,3.73626,-1.97166,7.7646,5.47252
12,3.7115,-1.98008,7.73142,5.423
13,3.68753,-1.98843,7.6991,5.37506
14,3.66431,-1.9967,7.66761,5.32863
15,3.64182,-2.00491,7.6369,5.28363
16,3.62001,-2.01306,7.60696,5.24002
17,3.59887,-2.02113,7.57774,5.19774
18,3.57837,-2.02915,7.54922,5.15673
19,3.55847,-2.0371,7.52138,5.11695
20,3.53917,-2.04499,7.49418,5.07834
21,3.52043,-2.09654,7.42389,5.04086
22,3.50201,-2.14577,7.35624,5.00402
23,3.48392,-2.19297,7.29094,4.96783
24,3.46615,-2.23838,7.22777,4.93229
25,3.4487,-2.31294,7.13575,4.89739
26,3.43141,-2.3835,7.04792,4.86282
27,3.41431,-2.38452,7.02979,4.82862
28,3.39772,-2.38554,7.01218,4.79544
29,3.38162,-2.38656,6.99506,4.76325
30,3.366,-2.38758,6.97842,4.732
31,3.35083,-2.3886,6.96223,4.70167
32,3.33611,-2.38962,6.94648,4.67221
33,3.3218,-2.39064,6.93116,4.64361
34,3.30791,-2.39166,6.91625,4.61582
35,3.29441,-2.39267,6.90173,4.58881
36,3.28128,-2.39369,6.88759,4.56257
37,3.26853,-2.39471,6.87382,4.53706
38,3.25613,-2.39572,6.86041,4.51225
39,3.24407,-2.39673,6.84733,4.48813
40,3.23234,-2.39775,6.83459,4.46467
41,3.22093,-2.39876,6.82217,4.44185
42,3.20982,-2.39977,6.81005,4.41964
43,3.19902,-2.40078,6.79823,4.39803
44,3.1885,-2.40179,6.7867,4.377
45,3.17826,-2.4028,6.77546,4.35652
46,3.16829,-2.40381,6.76448,4.33658
47,3.15858,-2.40482,6.75376,4.31716
48,3.14912,-2.40583,6.74329,4.29824
49,3.13991,-2.40683,6.73308,4.27982
50,3.13093,-2.40784,6.72309,4.26187
51,3.12219,-2.40884,6.71334,4.24437
52,3.11366,-2.40985,6.70381,4.22732
53,3.10535,-2.41085,6.6945,4.21071
54,3.09725,-2.41186,6.6854,4.1945
55,3.08935,-2.41286,6.6765,4.17871
56,3.08165,-2.41386,6.66779,4.16331
57,3.07414,-2.41486,6.65928,4.14828
58,3.06682,-2.41586,6.65095,4.13363
59,3.05967,-2.41686,6.64281,4.11934
60,3.0527,-2.41786,6.63484,4.10539
61,3.04589,-2.41886,6.62703,4.09178
62,3.03925,-2.41985,6.6194,4.0785
63,3.03277,-2.42085,6.61192,4.06554
