step,0,1,2
144,-0.0126678,0.0137326,-0.00106481
145,-0.0126666,0.01371,-0.00104336
146,-0.0126648,0.0136876,-0.00102277
147,-0.0126625,0.0136655,-0.00100302
148,-0.0126597,0.0136437,-0.000984072
149,-0.0126563,0.0136222,-0.00096589
150,-0.0126525,0.013601,-0.000948445
151,-0.012762,0.0137875,-0.0010255
152,-0.0128713,0.0139707,-0.00109943
153,-0.0130884,0.0143483,-0.00125984
154,-0.0131692,0.0144699,-0.00130064
155,-0.0133694,0.0148088,-0.00143948
156,-0.0134269,0.0148809,-0.00145399
157,-0.0134838,0.0149518,-0.001468
158,-0.0135402,0.0150217,-0.00148154
159,-0.0137045,0.0152903,-0.00158578
160,-0.0137221,0.0152848,-0.00156271
161,-0.0137389,0.0152795,-0.00154061
162,-0.0137549,0.0152743,-0.00151944
163,-0.0137701,0.0152692,-0.00149915
164,-0.0137846,0.0152643,-0.00147972
165,-0.013919,0.015483,-0.001564
166,-0.0140528,0.0156975,-0.00164479
167,-0.0140592,0.015673,-0.00161382
168,-0.0140647,0.0156488,-0.0015841
169,-0.0141786,0.0158281,-0.00164957
170,-0.0142917,0.0160041,-0.00171241
171,-0.0145069,0.0163688,-0.00186181
172,-0.014587,0.0164755,-0.0018885
173,-0.0147826,0.0167982,-0.00201559
174,-0.01486,0.0168952,-0.00203521
175,-0.0150422,0.0171888,-0.00214664
176,-0.0150996,0.0172448,-0.00214517
177,-0.015156,0.0172998,-0.00214385
178,-0.0153067,0.0175335,-0.00222685
179,-0.015351,0.0175645,-0.0022135
180,-0.0153943,0.017595,-0.00220078
181,-0.0155447,0.0178298,-0.00228505
182,-0.0155823,0.0178486,-0.00226634
183,-0.0156186,0.0178671,-0.00224846
184,-0.0156538,0.0178852,-0.00223139
185,-0.0157852,0.0180878,-0.00230257
186,-0.0157983,0.0180637,-0.00226541
187,-0.0158102,0.01804,-0.00222977
188,-0.015821,0.0180166,-0.0021956
189,-0.0158306,0.0179934,-0.00216283
190,-0.0159492,0.0181811,-0.00223185
191,-0.0159678,0.0181754,-0.00220767
192,-0.0159852,0.0181697,-0.00218452
193,-0.0160016,0.018164,-0.00216238
194,-0.016017,0.0181582,-0.0021412
195,-0.0161298,0.018342,-0.00221216
196,-0.0161372,0.0183207,-0.0021835
197,-0.0161436,0.0182997,-0.00215604
198,-0.016149,0.0182787,-0.00212973
199,-0.0161534,0.0182579,-0.00210453
200,-0.0161569,0.0182373,-0.00208039
201,-0.0162467,0.0183865,-0.00213974
202,-0.0162496,0.0183651,-0.00211551
203,-0.0162516,0.0183439,-0.00209231
204,-0.0162527,0.0183228,-0.0020701
205,-0.0162529,0.0183018,-0.00204884
206,-0.0162523,0.0182808,-0.00202848
207,-0.0163494,0.0184535,-0.00210407
208,-0.0163546,0.0184435,-0.00208891
209,-0.0163589,0.0184333,-0.00207446
210,-0.0163623,0.018423,-0.00206067
