step,stayUtil
460,50.0595
461,50.1212
462,50.1825
463,50.2435
464,50.3042
465,50.3644
466,50.4243
467,50.4839
468,50.5431
469,50.6019
470,50.6605
471,50.7186
472,50.7764
473,50.8339
474,50.891
475,50.9478
476,51.0043
477,51.0604
478,51.1162
479,51.1717
480,51.2268
481,51.2816
482,51.3361
483,51.3902
484,51.444
485,51.4975
486,51.5507
487,51.6036
488,51.6561
489,51.7084
490,51.7603
491,51.8119
492,51.8632
493,51.9142
494,51.9649
495,52.0153
496,52.0653
497,52.1151
498,52.1646
499,52.2138
500,52.2626
501,52.3112
502,52.3595
503,52.4075
504,52.4552
505,52.5026
506,52.5498
507,52.5966
508,52.6432
509,52.6894
510,52.7354
511,52.7811
512,52.8266
513,52.8717
514,52.9166
515,52.9612
516,53.0055
517,53.0496
518,53.0934
519,53.1369
520,53.1802
521,53.2232
522,53.2659
523,53.3084
524,53.3506
525,53.3925
526,53.4342
527,53.4756
528,53.5168
529,53.5577
530,53.5984
531,53.6388
532,53.679
533,53.7189
534,53.7586
535,53.798
536,53.8372
537,53.8761
538,53.9148
539,53.9533
540,53.9915
541,54.0295
542,54.0672
543,54.1047
544,54.142
545,54.179
546,54.2158
547,54.2524
548,54.2887
549,54.3249
550,54.3608
551,54.3964
552,54.4319
553,54.4671
554,54.5021
555,54.5369
556,54.5714
557,54.6058
558,54.6399
559,54.6738
560,54.7075
561,54.741
562,54.7743
563,54.8073
564,54.8402
565,54.8728
566,54.9053
567,54.9375
568,54.9696
569,55.0014
570,55.033
571,55.0644
572,55.0956
573,55.1267
574,55.1575
575,55.1881
576,55.2186
577,55.2488
578,55.2788
579,55.3087
580,55.3384
581,55.3678
582,55.3971
583,55.4262
584,55.4551
585,55.4838
586,55.5124
587,55.5407
588,55.5689
589,55.5969
590,55.6247
591,55.6523
592,55.6798
593,55.7071
594,55.7342
595,55.7611
596,55.7878
597,55.8144
598,55.8408
599,55.8671
600,55.8931
601,55.919
602,55.9447
603,55.9703
604,55.9957
605,56.0209
606,56.046
607,56.0709
608,56.0956
609,56.1202
610,56.1446
611,56.1689
612,56.193
613,56.2169
614,56.2407
615,56.2643
616,56.2878
617,56.3111
618,56.3343
619,56.3573
620,56.3802
621,56.4029
622,56.4254
623,56.4478
624,56.4701
625,56.4922
626,56.5142
627,56.536
628,56.5577
629,56.5793
630,56.6007
631,56.6219
632,56.643
633,56.664
634,56.6848
635,56.7055
636,56.7261
637,56.7465
638,56.7668
639,56.787
640,56.807
641,56.8269
642,56.8466
643,56.8663
644,56.8857
645,56.9051
646,56.9243
647,56.9434
648,56.9624
649,56.9813
650,57
651,57.0186
652,57.0371
653,57.0554
654,57.0736
655,57.0917
656,57.1097
657,57.1276
658,57.1453
659,57.1629
660,57.1804
661,57.1978
662,57.2151
663,57.2322
664,57.2493
665,57.2662
666,57.283
667,57.2997
668,57.3163
669,57.3327
670,57.3491
671,57.3653
672,57.3815
673,57.3975
674,57.4134
675,57.4292
676,57.4449
677,57.4605
678,57.476
679,57.4914
680,57.5067
681,57.5218
682,57.5369
683,57.5519
684,57.5667
685,57.5815
686,57.5961
687,57.6107
688,57.6252
689,57.6395
690,57.6538
691,57.668
692,57.682
693,57.696
694,57.7099
695,57.7237
696,57.7374
697,57.7509
698,57.7644
699,57.7779
700,57.7912
701,57.8044
702,57.8175
703,57.8306
704,57.8435
705,57.8564
706,57.8691
707,57.8818
708,57.8944
709,57.9069
710,57.9194
711,57.9317
712,57.9439
713,57.9561
714,57.9682
715,57.9802
716,57.9921
717,58.0039
718,58.0157
719,58.0273
720,58.0389
721,58.0504
722,58.0619
723,58.0732
724,58.0845
725,58.0957
726,58.1068
727,58.1178
728,58.1288
729,58.1396
730,58.1504
731,58.1612
732,58.1718
733,58.1824
734,58.1929
735,58.2033
736,58.2137
737,58.224
738,58.2342
739,58.2443
740,58.2544
741,58.2644
742,58.2743
743,58.2842
744,58.294
745,58.3037
746,58.3133
747,58.3229
748,58.3324
749,58.3419
750,58.3512
751,58.3606
752,58.3698
753,58.379
754,58.3881
755,58.3972
756,58.4062
757,58.4151
758,58.4239
759,58.4327
760,58.4415
761,58.4502
762,58.4588
763,58.4673
764,58.4758
765,58.4842
766,58.4926
767,58.5009
768,58.5092
769,58.5174
770,58.5255
771,58.5336
772,58.5416
773,58.5496
774,58.5575
775,58.5653
776,58.5731
777,58.5808
778,58.5885
779,58.5962
780,58.6037
781,58.6112
782,58.6187
783,58.6261
784,58.6335
785,58.6408
786,58.648
787,58.6552
788,58.6624
789,58.6695
790,58.6765
791,58.6835
792,58.6905
793,58.6974
794,58.7042
795,58.711
796,58.7177
797,58.7244
798,58.7311
799,58.7377
800,58.7442
801,58.7507
802,58.7572
803,58.7636
804,58.77
805,58.7763
806,58.7826
807,58.7888
808,58.795
809,58.8011
810,58.8072
811,58.8133
812,58.8193
813,58.8252
814,58.8312
815,58.837
816,58.8429
817,58.8487
818,58.8544
819,58.8601
820,58.8658
821,58.8714
822,58.877
823,58.8825
824,58.888
825,58.8935
826,58.8989
827,58.9043
828,58.9097
829,58.915
830,58.9202
831,58.9255
832,58.9306
833,58.9358
834,58.9409
835,58.946
836,58.951
837,58.956
838,58.961
839,58.9659
840,58.9708
841,58.9757
842,58.9805
843,58.9853
844,58.99
845,58.9947
846,58.9994
847,59.0041
848,59.0087
849,59.0133
850,59.0178
851,59.0223
852,59.0268
853,59.0312
854,59.0357
855,59.04
856,59.0444
857,59.0487
858,59.053
859,59.0572
860,59.0615
861,59.0656
862,59.0698
863,59.0739
864,59.078
865,59.0821
866,59.0861
867,59.0901
868,59.0941
869,59.0981
870,59.102
871,59.1059
872,59.1097
873,59.1136
874,59.1174
875,59.1211
876,59.1249
877,59.1286
878,59.1323
879,59.136
880,59.1396
881,59.1432
882,59.1468
883,59.1503
884,59.1539
885,59.1574
886,59.1608
887,59.1643
888,59.1677
889,59.1711
890,59.1745
891,59.1778
892,59.1812
893,59.1845
894,59.1877
895,59.191
896,59.1942
897,59.1974
898,59.2006
899,59.2038
900,59.2069
901,59.21
902,59.2131
903,59.2161
904,59.2192
905,59.2222
906,59.2252
907,59.2281
908,59.2311
909,59.234
910,59.2369
911,59.2398
912,59.2427
913,59.2455
914,59.2483
915,59.2511
916,59.2539
917,59.2566
918,59.2594
919,59.2621
920,59.2648
921,59.2675
922,59.2701
923,59.2727
924,59.2754
925,59.2779
926,59.2805
927,59.2831
928,59.2856
929,59.2881
930,59.2906
931,59.2931
932,59.2955
933,59.298
934,59.3004
935,59.3028
936,59.3052
937,59.3076
938,59.3099
939,59.3122
940,59.3146
941,59.3169
942,59.3191
943,59.3214
944,59.3236
945,59.3259
946,59.3281
947,59.3303
948,59.3324
949,59.3346
950,59.3367
951,59.3389
952,59.341
953,59.3431
954,59.3452
955,59.3472
956,59.3493
957,59.3513
958,59.3533
959,59.3553
960,59.3573
961,59.3593
962,59.3612
963,59.3632
964,59.3651
965,59.367
966,59.3689
967,59.3708
968,59.3727
969,59.3745
970,59.3764
971,59.3782
972,59.38
973,59.3818
974,59.3836
975,59.3853
976,59.3871
977,59.3888
978,59.3906
979,59.3923
980,59.394
981,59.3957
982,59.3974
983,59.399
984,59.4007
985,59.4023
986,59.4039
987,59.4056
988,59.4072
989,59.4087
990,59.4103
991,59.4119
992,59.4134
993,59.415
994,59.4165
995,59.418
996,59.4195
997,59.421
998,59.4225
999,59.424
1000,59.4254
1001,59.4269
1002,59.4283
1003,59.4298
1004,59.4312
1005,59.4326
1006,59.434
1007,59.4354
1008,59.4367
1009,59.4381
1010,59.4394
1011,59.4408
1012,59.4421
1013,59.4434
1014,59.4447
1015,59.446
1016,59.4473
1017,59.4486
1018,59.4499
1019,59.4512
1020,59.4524
1021,59.4536
1022,59.4549
1023,59.4561
1024,59.4573
1025,59.4585
1026,59.4597
1027,59.4609
1028,59.4621
1029,59.4632
