step,0,1,2,3
139,3.13465,-5.78042,3.35422,4.26929
140,3.13551,-5.78234,3.35317,4.27103
141,3.13636,-5.78427,3.35209,4.27272
142,3.13719,-5.78619,3.351,4.27438
143,3.138,-5.78811,3.3499,4.276
144,3.1388,-5.79003,3.34877,4.27759
145,3.13958,-5.79194,3.34763,4.27915
146,3.14034,-5.79386,3.34648,4.28068
147,3.14109,-5.79578,3.34531,4.28217
148,3.14182,-5.79769,3.34413,4.28364
149,3.14254,-5.79961,3.34293,4.28508
150,3.14325,-5.80152,3.34172,4.2865
151,3.14394,-5.82607,3.31787,4.28788
152,3.14469,-5.8505,3.29419,4.28939
153,3.1455,-5.89641,3.24909,4.291
154,3.14642,-5.91476,3.23166,4.29284
155,3.14737,-5.95711,3.19026,4.29475
156,3.14843,-5.97055,3.17788,4.29686
157,3.14949,-5.98396,3.16553,4.29899
158,3.15057,-5.99733,3.15324,4.30114
159,3.15166,-6.03272,3.11893,4.30331
160,3.15282,-6.03814,3.11468,4.30564
161,3.15397,-6.04356,3.11041,4.30793
162,3.1551,-6.04897,3.10613,4.31019
163,3.15621,-6.05437,3.10184,4.31243
164,3.15731,-6.05976,3.09755,4.31463
165,3.1584,-6.09011,3.06829,4.3168
166,3.15955,-6.12027,3.03928,4.3191
167,3.16076,-6.12395,3.03681,4.32152
168,3.16194,-6.12762,3.03432,4.32389
169,3.16311,-6.15412,3.00899,4.32622
170,3.16432,-6.18048,2.98384,4.32864
171,3.16558,-6.22837,2.93721,4.33116
172,3.16695,-6.24762,2.91933,4.3339
173,3.16834,-6.29147,2.87687,4.33668
174,3.16983,-6.31017,2.85966,4.33965
175,3.17133,-6.35133,2.82,4.34265
176,3.17291,-6.36585,2.80705,4.34582
177,3.17449,-6.38034,2.79415,4.34898
178,3.17607,-6.41532,2.76075,4.35214
179,3.17771,-6.42742,2.7503,4.35543
180,3.17935,-6.43948,2.73986,4.35869
181,3.18097,-6.47508,2.70589,4.36194
182,3.18266,-6.48613,2.69653,4.36532
183,3.18433,-6.49716,2.68717,4.36867
184,3.186,-6.50817,2.67782,4.37199
185,3.18764,-6.54058,2.64706,4.37529
186,3.18935,-6.54697,2.64238,4.3787
187,3.19102,-6.55335,2.63767,4.38205
188,3.19268,-6.55972,2.63295,4.38535
189,3.1943,-6.56609,2.62821,4.3886
190,3.1959,-6.59711,2.59879,4.39181
191,3.19756,-6.60574,2.59182,4.39511
192,3.19919,-6.61435,2.58485,4.39839
193,3.20081,-6.62295,2.57787,4.40163
194,3.20242,-6.63153,2.57089,4.40484
195,3.20401,-6.66256,2.54145,4.40801
196,3.20565,-6.66956,2.53608,4.4113
197,3.20727,-6.67656,2.53071,4.41454
198,3.20887,-6.68355,2.52532,4.41775
199,3.21046,-6.69053,2.51993,4.42091
200,3.21202,-6.6975,2.51452,4.42404
201,3.21357,-6.72483,2.48874,4.42714
202,3.21516,-6.73192,2.48324,4.43032
203,3.21673,-6.73901,2.47773,4.43347
204,3.21829,-6.74608,2.47221,4.43659
205,3.21983,-6.75315,2.46669,4.43967
206,3.22136,-6.76021,2.46115,4.44272
207,3.22287,-6.79081,2.43207,4.44575
208,3.22444,-6.79946,2.42498,4.44888
209,3.226,-6.8081,2.4179,4.452
210,3.22755,-6.81672,2.41083,4.4551
211,3.22909,-6.82533,2.40375,4.45817
212,3.23061,-6.85532,2.37529,4.46123
213,3.2322,-6.86174,2.37046,4.4644
214,3.23377,-6.86815,2.36561,4.46753
215,3.23532,-6.87455,2.36076,4.47063
216,3.23685,-6.88095,2.3559,4.47371
217,3.23837,-6.91204,2.32633,4.47675
218,3.23995,-6.92323,2.31672,4.47991
219,3.24153,-6.9344,2.30713,4.48307
220,3.24311,-6.94555,2.29756,4.48623
221,3.24469,-6.97919,2.2655,4.48938
222,3.24633,-6.99124,2.25509,4.49267
223,3.24798,-7.00327,2.24471,4.49596
224,3.24962,-7.03569,2.21393,4.49925
225,3.25133,-7.05023,2.2011,4.50266
226,3.25304,-7.06474,2.1883,4.50608
227,3.25476,-7.10287,2.15189,4.50952
228,3.25656,-7.1214,2.13516,4.51311
229,3.25837,-7.16142,2.09695,4.51674
230,3.26026,-7.18012,2.08014,4.52053
231,3.26217,-7.18212,2.08005,4.52434
232,3.26404,-7.18411,2.07993,4.52808
233,3.26588,-7.18611,2.07977,4.53176
234,3.26768,-7.1881,2.07958,4.53537
235,3.26946,-7.19009,2.07936,4.53891
236,3.2712,-7.19209,2.07911,4.5424
237,3.27291,-7.19408,2.07883,4.54582
238,3.27459,-7.19607,2.07853,4.54919
239,3.27625,-7.19806,2.07819,4.5525
240,3.27788,-7.20005,2.07783,4.55576
241,3.27948,-7.20204,2.07745,4.55897
242,3.28106,-7.20403,2.07704,4.56213
243,3.28262,-7.20601,2.07661,4.56524
244,3.28415,-7.208,2.07615,4.56831
245,3.28567,-7.23383,2.05184,4.57133
246,3.28723,-7.25955,2.02768,4.57445
247,3.28884,-7.2669,2.02194,4.57767
248,3.29044,-7.29599,1.99445,4.58088
249,3.2921,-7.30494,1.98716,4.5842
250,3.29376,-7.31387,1.97989,4.58751
251,3.29541,-7.32279,1.97262,4.59082
252,3.29706,-7.35665,1.94041,4.59412
253,3.29878,-7.37397,1.92482,4.59756
254,3.30052,-7.39123,1.90929,4.60105
255,3.30229,-7.43133,1.87096,4.60457
256,3.30414,-7.4532,1.85094,4.60827
257,3.30602,-7.45611,1.84991,4.61203
258,3.30787,-7.45902,1.84885,4.61574
259,3.3097,-7.46192,1.84778,4.6194
260,3.3115,-7.46483,1.84667,4.62301
261,3.31328,-7.49284,1.82045,4.62657
262,3.31512,-7.50536,1.80976,4.63023
263,3.31695,-7.51786,1.7991,4.63391
264,3.3188,-7.55347,1.76533,4.6376
265,3.32071,-7.57192,1.7488,4.64143
266,3.32265,-7.59031,1.73234,4.6453
267,3.32461,-7.59083,1.73378,4.64922
268,3.32653,-7.59136,1.73518,4.65307
269,3.32843,-7.59188,1.73655,4.65686
270,3.33029,-7.5924,1.73789,4.66058
271,3.33212,-7.59292,1.7392,4.66424
272,3.33393,-7.59345,1.74048,4.66785
273,3.3357,-7.59397,1.74173,4.6714
274,3.33745,-7.59449,1.74296,4.6749
275,3.33917,-7.59501,1.74416,4.67834
276,3.34087,-7.59553,1.74534,4.68174
277,3.34254,-7.59606,1.74649,4.68509
278,3.34419,-7.59658,1.74762,4.68839
279,3.34582,-7.5971,1.74872,4.69164
280,3.34743,-7.59762,1.7498,4.69485
281,3.34901,-7.59814,1.75087,4.69802
282,3.35057,-7.59867,1.75191,4.70115
283,3.35212,-7.59919,1.75293,4.70424
284,3.35364,-7.59971,1.75394,4.70729
285,3.35515,-7.60023,1.75492,4.7103
286,3.35664,-7.62602,1.73062,4.71328
287,3.35819,-7.6517,1.70648,4.71637
288,3.35979,-7.66297,1.69682,4.71958
289,3.3614,-7.69754,1.66387,4.72281
290,3.3631,-7.71602,1.64708,4.7262
291,3.36483,-7.71766,1.64716,4.72965
292,3.36653,-7.7193,1.64723,4.73307
293,3.36822,-7.72095,1.64727,4.73644
294,3.36989,-7.72259,1.6473,4.73978
295,3.37155,-7.72423,1.64731,4.74309
296,3.37318,-7.72587,1.64731,4.74637
297,3.3748,-7.72752,1.64729,4.74961
298,3.37641,-7.72916,1.64725,4.75282
299,3.378,-7.7308,1.6472,4.756
300,3.37957,-7.73244,1.64714,4.75915
301,3.38113,-7.73408,1.64706,4.76227
302,3.38268,-7.73572,1.64697,4.76536
303,3.38422,-7.76277,1.62145,4.76843
304,3.38581,-7.77631,1.6095,4.77163
305,3.38743,-7.78982,1.59761,4.77486
306,3.38907,-7.82688,1.56218,4.77814
307,3.3908,-7.84885,1.54195,4.78159
308,3.39257,-7.85501,1.53756,4.78514
309,3.39433,-7.86116,1.53317,4.78867
310,3.3961,-7.86731,1.52878,4.79219
311,3.39785,-7.87346,1.5244,4.79571
312,3.39961,-7.90514,1.49447,4.79922
313,3.40144,-7.92423,1.47721,4.80287
314,3.40329,-7.93006,1.47323,4.80659
315,3.40515,-7.93589,1.46926,4.81029
316,3.40699,-7.94171,1.46528,4.81399
317,3.40883,-7.94753,1.46131,4.81767
318,3.41067,-7.97631,1.43436,4.82133
319,3.41256,-7.99027,1.4223,4.82513
320,3.41448,-8.0042,1.41028,4.82895
321,3.41641,-8.00719,1.40922,4.83281
322,3.41832,-8.01017,1.40815,4.83664
323,3.42022,-8.01316,1.40706,4.84044
324,3.4221,-8.01614,1.40596,4.84421
325,3.42398,-8.01913,1.40485,4.84795
