step,0,1,2,3,4,5,6,7
77,10,5.8804,4.1196,5.81593,4.1196,0.0644657,5.81593,4.18407
78,10,5.87572,4.12428,5.80816,4.12428,0.0675545,5.80816,4.19184
79,10,5.87115,4.12885,5.80031,4.12885,0.0708378,5.80031,4.19969
80,10,5.86669,4.13331,5.7922,4.13331,0.0744954,5.7922,4.2078
81,10,5.86234,4.13766,5.78405,4.13766,0.0782955,5.78405,4.21595
82,10,5.8581,4.1419,5.77568,4.1419,0.0824182,5.77568,4.22432
83,10,5.854,4.146,5.76732,4.146,0.0866785,5.76732,4.23268
84,10,5.85013,4.14987,5.75897,4.14987,0.0911577,5.75897,4.24103
85,10,5.84647,4.15353,5.75062,4.15353,0.0958514,5.75062,4.24938
86,10,5.84314,4.15686,5.7421,4.15686,0.101044,5.7421,4.2579
87,10,5.83997,4.16003,5.73363,4.16003,0.106342,5.73363,4.26637
88,10,5.83695,4.16305,5.72521,4.16305,0.111741,5.72521,4.27479
89,10,5.83407,4.16593,5.71683,4.16593,0.11724,5.71683,4.28317
90,10,5.83133,4.16867,5.70849,4.16867,0.122837,5.70849,4.29151
91,10,5.82872,4.17128,5.70019,4.17128,0.128529,5.70019,4.29981
92,10,5.82623,4.17377,5.69192,4.17377,0.134314,5.69192,4.30808
93,10,5.824,4.176,5.68351,4.176,0.140484,5.68351,4.31649
94,10,5.822,4.178,5.67497,4.178,0.147032,5.67497,4.32503
95,10,5.82034,4.17966,5.66611,4.17966,0.154229,5.66611,4.33389
96,10,5.81886,4.18114,5.65716,4.18114,0.1617,5.65716,4.34284
97,10,5.81766,4.18234,5.64796,4.18234,0.169704,5.64796,4.35204
98,10,5.81658,4.18342,5.63871,4.18342,0.177866,5.63871,4.36129
99,10,5.81572,4.18428,5.62926,4.18428,0.186459,5.62926,4.37074
100,10,5.81493,4.18507,5.6198,4.18507,0.195131,5.6198,4.3802
101,10,5.8142,4.1858,5.61032,4.1858,0.20388,5.61032,4.38968
102,10,5.81354,4.18646,5.60084,4.18646,0.212705,5.60084,4.39916
103,10,5.81295,4.18705,5.59134,4.18705,0.221604,5.59134,4.40866
104,10,5.81241,4.18759,5.58183,4.18759,0.230577,5.58183,4.41817
105,10,5.81193,4.18807,5.5723,4.18807,0.239621,5.5723,4.4277
106,10,5.81161,4.18839,5.56262,4.18839,0.248993,5.56262,4.43738
107,10,5.81145,4.18855,5.55277,4.18855,0.258685,5.55277,4.44723
108,10,5.81155,4.18845,5.54261,4.18845,0.268936,5.54261,4.45739
109,10,5.81185,4.18815,5.5322,4.18815,0.279652,5.5322,4.4678
110,10,5.81222,4.18778,5.52172,4.18778,0.290501,5.52172,4.47828
111,10,5.81264,4.18736,5.51116,4.18736,0.301482,5.51116,4.48884
112,10,5.81312,4.18688,5.50052,4.18688,0.312593,5.50052,4.49948
113,10,5.81375,4.18625,5.48968,4.18625,0.324073,5.48968,4.51032
114,10,5.8144,4.1856,5.47881,4.1856,0.335589,5.47881,4.52119
115,10,5.81505,4.18495,5.46791,4.18495,0.347139,5.46791,4.53209
116,10,5.81571,4.18429,5.45699,4.18429,0.358724,5.45699,4.54301
117,10,5.81638,4.18362,5.44604,4.18362,0.370343,5.44604,4.55396
118,10,5.81706,4.18294,5.43506,4.18294,0.381995,5.43506,4.56494
119,10,5.81784,4.18216,5.42393,4.18216,0.393905,5.42393,4.57607
120,10,5.81872,4.18128,5.41265,4.18128,0.406069,5.41265,4.58735
121,10,5.81981,4.18019,5.40108,4.18019,0.41873,5.40108,4.59892
122,10,5.82096,4.17904,5.38938,4.17904,0.43158,5.38938,4.61062
123,10,5.82227,4.17773,5.37743,4.17773,0.444846,5.37743,4.62257
124,10,5.82361,4.17639,5.36539,4.17639,0.458212,5.36539,4.63461
125,10,5.82505,4.17495,5.35316,4.17495,0.471891,5.35316,4.64684
126,10,5.82649,4.17351,5.34089,4.17351,0.485601,5.34089,4.65911
127,10,5.82791,4.17209,5.32857,4.17209,0.499341,5.32857,4.67143
128,10,5.82932,4.17068,5.31621,4.17068,0.513112,5.31621,4.68379
129,10,5.83072,4.16928,5.30381,4.16928,0.526912,5.30381,4.69619
130,10,5.83211,4.16789,5.29136,4.16789,0.540743,5.29136,4.70864
131,10,5.83359,4.16641,5.27875,4.16641,0.554834,5.27875,4.72125
132,10,5.83503,4.16497,5.26613,4.16497,0.568897,5.26613,4.73387
133,10,5.83643,4.16357,5.2535,4.16357,0.582932,5.2535,4.7465
134,10,5.8378,4.1622,5.24086,4.1622,0.596939,5.24086,4.75914
135,10,5.83914,4.16086,5.22822,4.16086,0.610919,5.22822,4.77178
136,10,5.84044,4.15956,5.21557,4.15956,0.624872,5.21557,4.78443
137,10,5.84171,4.15829,5.20292,4.15829,0.638799,5.20292,4.79708
138,10,5.84296,4.15704,5.19026,4.15704,0.6527,5.19026,4.80974
139,10,5.84417,4.15583,5.17759,4.15583,0.666576,5.17759,4.82241
140,10,5.84536,4.15464,5.16493,4.15464,0.680427,5.16493,4.83507
141,10,5.84652,4.15348,5.15226,4.15348,0.694254,5.15226,4.84774
