step,0,1,2,3,4,5,6,7
0,0,1.42857,0,0,1.42857,0,0,0
1,0,1.42857,0,0,1.42857,0,0,0
2,0,1.42857,0,0,1.42857,0,0,0
3,0,1.42857,0,0,1.42857,0,0,0
4,0,1.42857,0,0,1.42857,0,0,0
5,0,1.42857,0,0,1.42857,0,0,0
6,0,2.85714,0,0,2.85714,0,0,0
7,0,2.85714,0,0,2.85714,0,0,0
8,0,2.85714,0,0,2.85714,0,0,0
9,0,2.85714,0,0,2.85714,0,0,0
10,0,2.85714,0,0,2.85714,0,0,0
11,0,2.85714,0,0,2.85714,0,0,0
12,0,2.85714,0,0,2.85714,0,0,0
13,0,4.28571,0,0,4.28571,0,0,0
14,0,4.28571,0,0,4.28571,0,0,0
15,0,4.28571,0,0,4.28571,0,0,0
16,0,5.71429,0,0,5.71429,0,0,0
17,0,5.71429,0,0,5.71429,0,0,0
18,0,5.71429,0,0,5.71429,0,0,0
19,0,5.71429,0,0,5.71429,0,0,0
20,0,5.71429,0,0,5.71429,0,0,0
21,0,5.71429,0,0,5.71429,0,0,0
22,0,5.71429,0,0,5.71429,0,0,0
23,0,5.71429,0,0,5.71429,0,0,0
24,0,5.71429,0,0,5.71429,0,0,0
25,0,5.71429,0,0,5.71429,0,0,0
26,0,5.71429,0,0,5.71429,0,0,0
27,0,5.71429,0,0,5.71429,0,0,0
28,0,7.14286,0,0,7.14286,0,0,0
29,0,7.14286,0,0,7.14286,0,0,0
30,0,7.14286,0,0,7.14286,0,0,0
31,0,8.57143,0,0,8.57143,0,0,0
32,0,8.57143,0,0,8.57143,0,0,0
33,0,8.57143,0,0,8.57143,0,0,0
34,0,8.57143,0,0,8.57143,0,0,0
35,0,10,0,0,10,0,0,0
36,0,10,0,0,10,0,0,0
37,0,10,0,0,10,0,0,0
38,0,11.4286,0,0,11.4286,0,0,0
39,0,11.4286,0,0,11.4286,0,0,0
40,0,11.4286,0,0,11.4286,0,0,0
41,0,12.8571,0,0,12.8571,0,0,0
42,0,12.8571,0,0,12.8571,0,0,0
43,0,14.2857,0,0,14.2857,0,0,0
44,0,14.2857,0,0,14.2857,0,0,0
45,0,14.2857,0,0,14.2857,0,0,0
46,0,15.7143,0,0,15.7143,0,0,0
47,0,15.7143,0,0,15.7143,0,0,0
