step,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
32,0.934679,-1.29253,-0.894413,0.416182,0.836082,-0.0132694,-0.00382293,-2.24271e-36,-0.0599648,0.00434794,-2.09899e-36,-0.0558259,0.0179878,0.0422682,0.068279
33,0.93574,-1.41003,-0.780092,0.417242,0.837142,-0.0132694,-0.00382293,-2.24271e-36,-0.0599648,0.00434794,-2.09899e-36,-0.0558259,0.0179878,0.0422682,0.068279
34,0.9368,-1.52753,-0.665772,0.418303,0.838203,-0.0132694,-0.00382293,-2.24271e-36,-0.0599648,0.00434794,-2.09899e-36,-0.0558259,0.0179878,0.0422682,0.068279
35,0.937861,-1.64504,-0.551451,0.419364,0.839264,-0.0132694,-0.00382293,-2.24271e-36,-0.0599648,0.00434794,-2.09899e-36,-0.0558259,0.0179878,0.0422682,0.068279
36,0.938922,-1.76254,-0.43713,0.420424,0.840324,-0.0132694,-0.00382293,-2.24271e-36,-0.0599648,0.00434794,-2.09899e-36,-0.0558259,0.0179878,0.0422682,0.068279
37,0.939982,-1.88004,-0.32281,0.421485,0.841385,-0.0132694,-0.00382293,-2.24271e-36,-0.0599648,0.00434794,-2.09899e-36,-0.0558259,0.0179878,0.0422682,0.068279
38,0.941043,-1.99755,-0.208489,0.422546,0.842446,-0.0132694,-0.00382293,-2.24271e-36,-0.0599648,0.00434794,-2.09899e-36,-0.0558259,0.0179878,0.0422682,0.068279
39,0.942104,-2.11505,-0.0941682,0.423606,0.843506,-0.0132694,-0.00382293,-2.24271e-36,-0.0599648,0.00434794,-2.09899e-36,-0.0558259,0.0179878,0.0422682,0.068279
40,0.943164,-2.23255,0.0201525,0.424667,0.844567,-0.0132694,-0.00382293,-2.24271e-36,-0.0599648,0.00434794,-2.09899e-36,-0.0558259,0.0179878,0.0422682,0.068279
41,0.775152,0,-1.78404,0.327144,0.681744,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
42,0.776212,-0.103356,-1.68387,0.328204,0.682804,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
43,0.777273,-0.206712,-1.58369,0.329265,0.683865,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
44,0.778334,-0.310068,-1.48352,0.330326,0.684926,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
45,0.779394,-0.413424,-1.38334,0.331386,0.685986,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
46,0.780455,-0.51678,-1.28317,0.332447,0.687047,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
47,0.781516,-0.620136,-1.183,0.333508,0.688108,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
48,0.782576,-0.723492,-1.08282,0.334568,0.689168,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
49,0.783637,-0.826847,-0.982648,0.335629,0.690229,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
50,0.784698,-0.930203,-0.882474,0.33669,0.69129,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
51,0.785758,-1.03356,-0.7823,0.33775,0.69235,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
52,0.786819,-1.13692,-0.682126,0.338811,0.693411,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
53,0.78788,-1.24027,-0.581952,0.339872,0.694472,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
54,0.78894,-1.34363,-0.481778,0.340932,0.695532,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
55,0.790001,-1.44698,-0.381604,0.341993,0.696593,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
56,0.791062,-1.55034,-0.28143,0.343054,0.697654,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
57,0.792122,-1.65369,-0.181256,0.344114,0.698714,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
58,0.793183,-1.75705,-0.0810821,0.345175,0.699775,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
59,0.794244,-1.86041,0.0190919,0.346236,0.700836,-0.0124066,-0.00400769,-2.02105e-36,-0.0519858,0.00416319,-1.87733e-36,-0.0478469,0.0139009,0.0360861,0.0620969
60,0.638323,0,-1.44443,0.256004,0.550104,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
61,0.639384,-0.0892092,-1.3584,0.257065,0.551165,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
62,0.640444,-0.178418,-1.27238,0.258125,0.552225,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
63,0.641505,-0.267628,-1.18635,0.259186,0.553286,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
64,0.642566,-0.356837,-1.10032,0.260247,0.554347,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
65,0.643626,-0.446046,-1.0143,0.261307,0.555407,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
66,0.644687,-0.535255,-0.928268,0.262368,0.556468,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
67,0.645748,-0.624464,-0.842241,0.263429,0.557529,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
68,0.646808,-0.713673,-0.756214,0.264489,0.558589,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
69,0.647869,-0.802883,-0.670186,0.26555,0.55965,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
70,0.64893,-0.892092,-0.584159,0.266611,0.560711,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
71,0.64999,-0.981301,-0.498132,0.267671,0.561771,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
72,0.651051,-1.07051,-0.412105,0.268732,0.562832,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
73,0.652112,-1.15972,-0.326078,0.269793,0.563893,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
74,0.653172,-1.24893,-0.24005,0.270853,0.564953,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
75,0.654233,-1.33814,-0.154023,0.271914,0.566014,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
76,0.655293,-1.42735,-0.067996,0.272975,0.567075,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
77,0.656354,-1.51656,0.0180312,0.274035,0.568135,-0.0119233,-0.00375243,-1.80428e-36,-0.0441825,0.00441844,-1.66056e-36,-0.0400436,0.0106335,0.0294195,0.0554304
78,0.512525,0,-1.13312,0.191096,0.429496,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
79,0.513586,-0.0750624,-1.06124,0.192156,0.430556,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
80,0.514647,-0.150125,-0.989356,0.193217,0.431617,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
81,0.515707,-0.225187,-0.917475,0.194278,0.432678,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
82,0.516768,-0.30025,-0.845595,0.195338,0.433738,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
83,0.517829,-0.375312,-0.773714,0.196399,0.434799,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
84,0.518889,-0.450375,-0.701834,0.19746,0.43586,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
85,0.51995,-0.525437,-0.629954,0.19852,0.43692,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
86,0.52101,-0.600499,-0.558073,0.199581,0.437981,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
87,0.522071,-0.675562,-0.486193,0.200642,0.439042,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
88,0.523132,-0.750624,-0.414312,0.201702,0.440102,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
89,0.524192,-0.825687,-0.342432,0.202763,0.441163,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
90,0.525253,-0.900749,-0.270551,0.203824,0.442224,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
91,0.526314,-0.975812,-0.198671,0.204884,0.443284,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
92,0.527374,-1.05087,-0.12679,0.205945,0.444345,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
93,0.528435,-1.12594,-0.0549099,0.207006,0.445406,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
94,0.529496,-1.201,0.0169706,0.208066,0.446466,-0.011228,-0.00305717,-1.59238e-36,-0.0365547,0.00511371,-1.44866e-36,-0.0324158,0.0075941,0.0222686,0.0482794
95,0.397759,0,-0.850096,0.132419,0.319919,-0.0100928,-0.00192189,-1.38536e-36,-0.0291026,0.00624898,-1.24164e-36,-0.0249637,0.00455471,0.0146332,0.040644
96,0.398819,-0.0609157,-0.792362,0.133479,0.320979,-0.0100928,-0.00192189,-1.38536e-36,-0.0291026,0.00624898,-1.24164e-36,-0.0249637,0.00455471,0.0146332,0.040644
97,0.39988,-0.121831,-0.734628,0.13454,0.32204,-0.0100928,-0.00192189,-1.38536e-36,-0.0291026,0.00624898,-1.24164e-36,-0.0249637,0.00455471,0.0146332,0.040644
98,0.400941,-0.182747,-0.676895,0.135601,0.323101,-0.0100928,-0.00192189,-1.38536e-36,-0.0291026,0.00624898,-1.24164e-36,-0.0249637,0.00455471,0.0146332,0.040644
99,0.402001,-0.243663,-0.619161,0.136661,0.324161,-0.0100928,-0.00192189,-1.38536e-36,-0.0291026,0.00624898,-1.24164e-36,-0.0249637,0.00455471,0.0146332,0.040644
